wrd	len	exembed	embed	nbs	adds	dels	subs	rhy1	rhy2	cohs	cohshort	cohlong	cohsame
ad	2	5	0	3	2	0	1	18	2	0	0	0	0
ar	2	28	0	9	6	0	3	7	7	3	0	3	0
ark	3	4	1	5	3	1	1	4	21	3	0	1	1
art	3	8	1	4	2	1	1	4	47	3	0	1	1
artxst	6	0	4	0	0	0	0	0	0	3	3	0	0
bab	3	1	0	4	1	0	3	1	4	6	0	5	1
babi	4	0	2	3	0	1	2	1	2	6	0	1	3
badi	4	0	1	1	0	0	1	0	1	6	0	1	3
baks	4	0	0	0	0	0	0	0	0	6	0	1	3
bar	3	1	1	7	1	1	5	7	7	6	0	5	1
bark	4	0	3	4	0	2	2	4	4	6	0	1	3
batxl	5	0	1	0	0	0	0	0	2	6	2	0	0
bi	2	4	0	7	1	0	6	27	2	2	0	2	0
bist	4	0	2	4	0	2	2	3	7	2	1	0	0
bit	3	0	2	7	1	2	4	7	47	2	0	1	0
blak	4	0	1	2	0	1	1	2	5	2	0	0	1
blu	3	0	0	2	0	0	2	2	10	2	0	2	0
blxd	4	0	1	0	0	0	0	1	3	2	0	0	1
brid	4	0	1	2	0	1	1	1	7	2	0	0	2
brud	4	0	0	1	0	0	1	0	0	2	0	0	2
brxh	4	0	2	2	0	1	1	2	2	2	0	0	2
bust	4	0	0	2	0	1	1	0	7	1	0	0	0
but	3	0	0	6	1	0	5	4	47	1	0	1	0
bxbxl	5	1	1	1	0	0	1	5	5	3	3	0	0
bxk	3	0	1	5	0	0	5	5	21	3	0	1	2
bxs	3	0	2	3	0	1	2	3	9	3	0	1	2
bxt	3	0	1	7	0	0	7	8	47	3	0	1	2
dal	3	0	0	3	0	0	3	0	28	3	0	2	1
dark	4	0	2	4	0	1	3	4	4	3	0	0	1
dart	4	0	2	4	0	2	2	4	4	3	0	0	1
dat	3	0	0	6	1	0	5	8	47	3	0	2	1
did	3	1	0	5	0	0	5	7	18	2	0	0	2
dil	3	0	0	6	0	0	6	4	28	2	0	0	2
dip	3	0	0	5	0	0	5	7	20	2	0	0	2
drap	4	0	0	1	0	0	1	1	6	2	0	0	1
dru	3	0	0	4	0	1	3	4	10	2	0	2	0
drxg	4	0	1	1	0	0	1	1	3	2	0	0	1
du	2	2	0	3	1	0	2	10	0	1	0	1	0
duti	4	0	2	0	0	0	0	0	4	1	1	0	0
dxbxl	5	0	1	1	0	0	1	5	5	3	2	0	0
dxk	3	1	1	4	0	0	4	5	21	3	0	2	1
dxl	3	1	1	3	0	0	3	17	28	3	0	2	1
dxst	4	0	2	0	0	0	0	2	7	3	0	1	0
gad	3	0	1	4	1	1	2	2	18	2	0	1	1
gard	4	0	1	2	0	1	1	1	1	2	0	0	0
gat	3	0	0	5	0	0	5	8	47	2	0	1	1
glu	3	0	0	3	0	0	3	2	10	0	0	0	0
grik	4	0	0	1	0	0	1	1	4	3	0	0	2
grit	4	0	1	2	0	0	2	2	7	3	0	0	2
gru	3	1	0	6	1	0	5	4	10	3	0	3	0
grup	4	0	1	2	0	1	1	1	2	3	0	0	2
gxtar	5	0	3	0	0	0	0	0	2	0	0	0	0
hak	3	0	0	4	0	0	4	5	21	3	0	1	2
hap	3	0	0	7	1	0	6	6	20	3	0	1	2
harp	4	0	1	1	0	1	0	0	0	3	0	0	0
hat	3	0	0	9	0	0	9	8	47	3	0	1	2
hi	2	3	0	9	2	0	7	27	0	3	0	3	0
hild	4	0	1	0	0	0	0	0	0	3	1	0	0
hip	3	0	1	6	0	1	5	7	20	3	0	1	1
hit	3	0	2	8	0	2	6	7	47	3	0	1	1
hrxg	4	0	1	1	0	0	1	1	3	0	0	0	0
hut	3	0	0	6	0	0	6	4	47	0	0	0	0
hxt	3	0	1	6	0	0	6	8	47	0	0	0	0
ist	3	3	0	3	2	1	0	7	47	0	0	0	0
it	2	8	0	4	4	0	0	47	7	0	0	0	0
kalig	5	0	1	0	0	0	0	0	1	5	2	1	0
kap	3	1	0	9	2	0	7	6	20	5	0	4	1
kapi	4	0	2	1	0	1	0	0	2	5	0	2	1
kar	3	3	1	8	2	1	5	7	7	5	0	4	1
kard	4	0	2	2	0	1	1	1	1	5	0	2	1
karpxt	6	0	4	0	0	0	0	0	0	5	4	0	0
ki	2	2	0	7	1	0	6	27	1	1	0	1	0
kip	3	0	1	7	1	1	5	7	20	1	0	0	0
klak	4	0	1	2	0	1	1	2	5	2	0	0	1
klu	3	0	0	3	0	0	3	2	10	2	0	2	0
klxb	4	0	1	0	0	0	0	0	1	2	0	0	1
krap	4	0	0	3	0	1	2	1	6	5	0	2	2
krip	4	0	0	2	0	1	1	0	7	5	0	2	2
kru	3	3	0	5	1	0	4	4	10	5	0	5	0
kruhxl	6	0	2	1	0	1	0	0	0	5	4	0	0
kruxl	5	0	2	1	1	0	0	0	0	5	1	1	0
krxh	4	0	2	2	0	1	1	2	2	5	0	2	2
kul	3	1	0	4	1	0	3	4	28	0	0	0	0
kxp	3	1	2	4	0	1	3	1	20	2	0	1	1
kxpxl	5	0	3	0	0	0	0	0	1	2	2	0	0
kxt	3	2	1	4	0	0	4	8	47	2	0	1	1
labi	4	0	1	1	0	0	1	1	2	2	0	0	0
lak	3	2	0	6	2	0	4	5	21	2	0	1	1
lat	3	2	0	7	2	0	5	8	47	2	0	1	1
lid	3	0	0	5	0	0	5	7	18	4	0	2	2
lig	3	2	0	2	0	0	2	1	5	4	0	2	2
ligxl	5	0	2	0	0	0	0	0	1	4	3	0	0
lip	3	2	0	7	1	0	6	7	20	4	0	2	2
list	4	0	1	2	0	1	1	3	7	4	0	1	0
lup	3	0	0	2	0	0	2	2	20	1	0	0	1
lus	3	0	0	1	0	0	1	1	9	1	0	0	1
lxk	3	2	1	6	1	0	5	5	21	2	0	2	0
lxkhxri	7	0	2	0	0	0	0	0	0	2	2	0	0
lxki	4	0	3	1	0	1	0	0	1	2	0	1	0
pakxt	5	0	2	1	0	0	1	1	2	12	3	5	1
palxsi	6	0	3	0	0	0	0	0	0	12	6	2	2
pap	3	1	0	7	1	0	6	6	20	12	0	10	2
papx	4	0	2	1	0	1	0	0	0	12	0	7	2
par	3	7	1	10	2	1	7	7	7	12	0	10	2
parhxl	6	0	3	0	0	0	0	0	0	12	6	2	2
park	4	1	3	6	1	2	3	4	4	12	0	7	2
