wrd	len	exembed	embed	nbs	matN	adds	dels	subs	rhy1	rhy2	cohEmb	cohs	cohshort	cohlong	cohsame	peakAcc	peakRt	DiffAcc	DiffRt	cdiffAcc	cdiffRt	abzAcc	abzRt
ad	2	5	0	3	matN	2	0	1	18	2	cohEmb	0	0	0	0	1	99	1	28	1	12	0	NA
ar	2	28	0	9	matN	6	0	3	7	7	cohEmb	3	0	3	0	1	99	1	26	1	13	0	NA
ark	3	4	1	5	matN	3	1	1	4	21	cohEmb	3	0	1	1	1	99	1	37	1	30	0	NA
art	3	8	1	4	matN	2	1	1	4	47	cohEmb	3	0	1	1	1	99	1	37	1	30	0	NA
artxst	6	0	4	0	matN	0	0	0	0	0	cohEmb	3	3	0	0	1	99	0	NA	1	83	0	NA
bab	3	1	0	4	matN	1	0	3	1	4	cohEmb	6	0	5	1	1	99	1	28	1	13	1	78
babi	4	0	2	3	matN	0	1	2	1	2	cohEmb	6	0	1	3	1	99	1	61	1	48	1	84
badi	4	0	1	1	matN	0	0	1	0	1	cohEmb	6	0	1	3	1	99	1	33	1	27	1	51
baks	4	0	0	0	matN	0	0	0	0	0	cohEmb	6	0	1	3	1	99	1	42	1	37	1	52
bar	3	1	1	7	matN	1	1	5	7	7	cohEmb	6	0	5	1	1	99	1	29	1	23	1	79
bark	4	0	3	4	matN	0	2	2	4	4	cohEmb	6	0	1	3	1	99	1	51	1	44	1	65
batxl	5	0	1	0	matN	0	0	0	0	2	cohEmb	6	2	0	0	1	99	1	42	1	35	1	54
bi	2	4	0	7	matN	1	0	6	27	2	cohEmb	2	0	2	0	1	99	1	27	1	10	0	NA
bist	4	0	2	4	matN	0	2	2	3	7	cohEmb	2	1	0	0	1	99	1	40	1	35	1	62
bit	3	0	2	7	matN	1	2	4	7	47	cohEmb	2	0	1	0	1	99	1	35	1	28	0	NA
blak	4	0	1	2	matN	0	1	1	2	5	cohEmb	2	0	0	1	1	99	1	33	1	27	1	50
blu	3	0	0	2	matN	0	0	2	2	10	cohEmb	2	0	2	0	1	99	1	25	1	13	1	56
blxd	4	0	1	0	matN	0	0	0	1	3	cohEmb	2	0	0	1	1	99	1	34	1	28	1	48
brid	4	0	1	2	matN	0	1	1	1	7	cohEmb	2	0	0	2	1	99	1	33	1	25	1	51
brud	4	0	0	1	matN	0	0	1	0	0	cohEmb	2	0	0	2	1	99	1	33	1	25	1	49
brxh	4	0	2	2	matN	0	1	1	2	2	cohEmb	2	0	0	2	1	99	1	33	1	25	1	50
bust	4	0	0	2	matN	0	1	1	0	7	cohEmb	1	0	0	0	1	99	1	34	1	28	1	49
but	3	0	0	6	matN	1	0	5	4	47	cohEmb	1	0	1	0	1	99	1	31	1	23	1	66
bxbxl	5	1	1	1	matN	0	0	1	5	5	cohEmb	3	3	0	0	1	99	1	46	1	40	1	89
bxk	3	0	1	5	matN	0	0	5	5	21	cohEmb	3	0	1	2	1	99	1	28	1	22	1	59
bxs	3	0	2	3	matN	0	1	2	3	9	cohEmb	3	0	1	2	1	99	1	28	1	22	1	60
bxt	3	0	1	7	matN	0	0	7	8	47	cohEmb	3	0	1	2	1	99	1	29	1	23	1	65
