Target	Category	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
S^t	Target	0.0	0.0	0.001	0.00245849	0.0040864204	0.00573139	0.0073155817	0.008802201	0.01017708	0.0114384405	0.012591111	0.013644995	0.017151704	0.02220564	0.028196717	0.03471513	0.041516654	0.04844863	0.05540753	0.062318828	0.06912923	0.075793914	0.085827716	0.09798874	0.111283906	0.12510662	0.13906178	0.15288049	0.1663716	0.17939723	0.19186702	0.20373228	0.21497257	0.22558603	0.23558411	0.24498697	0.25382018	0.26211238	0.26989368	0.2771944	0.28404453	0.29047173	0.29650265	0.3021631	0.3074775	0.31246898	0.31715918	0.32156768	0.32571298	0.32961237	0.33328196	0.33673674	0.33999065	0.34305656	0.34594652	0.34867164	0.35124224	0.3536679	0.35595757	0.35811946	0.36016133	0.36209035	0.3639132	0.3656362	0.36726514	0.36880547	0.37026232	0.3716405	0.37294447	0.37417844	0.37534636	0.3764519	0.3774986	0.37848967	0.3794283	0.3803173	0.3811594	0.38195717	0.3827131	0.38342944	0.38410833	0.38475183	0.38536182	0.38594013	0.3864885	0.38700846	0.38750157	0.38796926	0.3884129	0.38883376	0.3892331	0.38961202	0.38997158	0.39031282	0.39063674	0.3909442	0.39123613	0.3915133	0.3917765	0.39202642
S^t	Cohort	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S^t	Rhyme	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.3117674e-05	8.991865e-05	0.00010916489	0.00010370169	9.8497665e-05	9.354023e-05	8.881817e-05	8.43207e-05	0.0013710564	0.00402488	0.007355647	0.010983594	0.014681182	0.018304383	0.021759925	0.024984488	0.02793791	0.03060397	0.032981306	0.035077214	0.036905322	0.038482938	0.03982928	0.04096425	0.04190765	0.042678606	0.043295268	0.043772712	0.04412507	0.04436593	0.04450813	0.044563543	0.04454307	0.044455845	0.044310387	0.04411455	0.04387549	0.04359968	0.04329294	0.04296047	0.042606894	0.042236317	0.04185235	0.041458193	0.041056637	0.040650133	0.040240835	0.03983059	0.039421022	0.039013524	0.038609296	0.038209364	0.037814606	0.037425768	0.037043463	0.03666821	0.036300424	0.035940457	0.035588566	0.035244975	0.03490982	0.034583192	0.034265164	0.03395576	0.033654965	0.03336274	0.033079017	0.032803718	0.03253674	0.032277968	0.032027263	0.031784486	0.03154949	0.031322118	0.031102205	0.030889578	0.03068407	0.03048551	0.03029371	0.030108498	0.029929696	0.029757129	0.029590622	0.029429996	0.02927508	0.029125696
S^t	Embedding	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002332569	0.0010909819	0.0023034671	0.003682395	0.005127803	0.006584264	0.008016296	0.009399659	0.010719933	0.011965705	0.01313013	0.014112353	0.014821896	0.0152539965	0.015428806	0.015373486	0.015113151	0.014668383	0.014059752	0.0133561045	0.012685581	0.012046955	0.011439005	0.0108605195	0.010310294	0.0097871395	0.009289884	0.0088173775	0.008368499	0.007942148	0.00753726	0.007152813	0.0067878193	0.0064413333	0.0061124475	0.005800289	0.005504026	0.005222863	0.004956042	0.004702841	0.004462572	0.00423458	0.0040182415	0.0038129648	0.0036181856	0.0034333689	0.0032580057	0.003091613	0.0029337322	0.0027839276	0.0026417857	0.0025069139	0.00237894	0.0022575103	0.00214229	0.0020329603	0.0019292198	0.0018307819	0.001737375	0.0016487414	0.0015646365	0.0014848283	0.0014090969	0.0013372333	0.0012690399	0.0012043285	0.001142921	0.0010846484	0.0010293503	0.0009768745	0.00092707673	0.00087982	0.0008349745	0.0007924169	0.0007520304	0.000713704	0.00067733234	0.0006428157	0.0006100593	0.0005789732	0.0005494722	0.0005214754	0.00049490586	0.00046969086	0.00044576122	0.00042305136	0.00040149904	0.00038104522
S^t	Other	0.0	0.0	7.692308e-05	0.00018714546	0.00030755607	0.00042615013	0.000536977	0.0006374042	0.00072661415	0.0008047685	0.0008725905	0.0009314037	0.0010341125	0.0011620513	0.0012991937	0.0014240348	0.0015293795	0.0016152638	0.0016837865	0.0017371383	0.0017797479	0.0018131763	0.0018807437	0.0019785143	0.0020759997	0.0021647874	0.0022433847	0.0023137645	0.0023782935	0.002437192	0.0024892492	0.0025342775	0.0025728603	0.002605243	0.0026318606	0.0026532514	0.002669996	0.00268268	0.0026918699	0.0026980946	0.00270225	0.0027047582	0.0027058811	0.0027058644	0.0027049307	0.002703281	0.002701285	0.0026990366	0.0026966224	0.0026941162	0.0026915816	0.002689069	0.002686624	0.0026842805	0.002682067	0.0026800034	0.0026781047	0.0026763803	0.002674837	0.0026734779	0.002672302	0.0026713053	0.002670486	0.0026698369	0.002669351	0.002669021	0.0026688366	0.0026687926	0.0026688767	0.002669082	0.0026693975	0.0026698173	0.0026703302	0.0026709277	0.002671604	0.0026723496	0.0026731577	0.0026740204	0.0026749326	0.0026758872	0.0026768786	0.0026779014	0.0026789499	0.0026800195	0.0026811066	0.0026822053	0.0026833152	0.0026844295	0.002685546	0.002686663	0.0026877762	0.0026888857	0.0026899863	0.0026910785	0.0026921583	0.0026932256	0.0026942794	0.0026953171	0.002696339	0.002697344
Sak	Target	0.0	0.0	0.001	0.0024884602	0.0041823303	0.005925122	0.007631661	0.009257644	0.010782513	0.012199572	0.01351016	0.014719931	0.018363493	0.023564374	0.02968531	0.036249824	0.04297252	0.049683984	0.056279264	0.06269002	0.06886194	0.074755594	0.08372085	0.09463436	0.10659061	0.119034946	0.13162728	0.14414725	0.15644641	0.16843161	0.180046	0.19125676	0.20204672	0.21240973	0.22234163	0.23184344	0.24092133	0.24958625	0.25784835	0.26572064	0.27321815	0.28035536	0.28714684	0.29360777	0.2997519	0.30559242	0.31114277	0.31641647	0.32142666	0.32618615	0.33070722	0.33500177	0.339081	0.3429557	0.34663612	0.35013193	0.35345238	0.3566059	0.35960016	0.36244285	0.36514118	0.36770225	0.3701327	0.37243906	0.3746275	0.37670395	0.37867397	0.380543	0.38231617	0.38399833	0.385594	0.38710737	0.38854253	0.3899034	0.39119372	0.39241713	0.39357704	0.39467674	0.39571938	0.39670795	0.3976452	0.3985339	0.39937663	0.40017575	0.40093356	0.40165228	0.40233397	0.4029806	0.40359402	0.40417597	0.40472817	0.4052522	0.40574947	0.4062215	0.40666956	0.40709496	0.40749884	0.4078823	0.4082465	0.40859237
Sak	Cohort	0.0	0.0	0.001	0.0024618201	0.0040911385	0.005728183	0.0072885025	0.008730402	0.010036685	0.011204186	0.012238134	0.013148368	0.01634498	0.020959044	0.026372368	0.032137807	0.03799421	0.04379164	0.049441513	0.054887097	0.060081217	0.064992346	0.06960537	0.07372268	0.07718838	0.07997323	0.08211847	0.08368337	0.08472856	0.085318826	0.08551734	0.08538279	0.08496795	0.08440385	0.08375627	0.08304078	0.08227115	0.08146002	0.080617815	0.07975403	0.0788772	0.07799419	0.077110685	0.07623169	0.075361036	0.07450182	0.07365674	0.07282806	0.07201768	0.07122714	0.070457615	0.06971003	0.06898502	0.068283014	0.06760424	0.06694875	0.06631648	0.06570709	0.06512014	0.06455514	0.064011574	0.06348895	0.06298672	0.06250433	0.06204124	0.06159688	0.061170667	0.060762037	0.060370427	0.059995253	0.059635907	0.05929172	0.058962066	0.058646362	0.058344055	0.05805461	0.057777524	0.057512295	0.057258457	0.057015564	0.05678318	0.056560885	0.05634829	0.056144994	0.055950623	0.055764824	0.055587243	0.055417556	0.055255443	0.05510058	0.054952692	0.054811463	0.054676637	0.054547936	0.05442511	0.05430789	0.05419604	0.054089323	0.053987503	0.05389039
Sak	Rhyme	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9253173e-05	0.00017352356	0.0003402332	0.00046246295	0.00052077137	0.0005092968	0.00048377487	0.00045945952	0.00043629357	0.0017323424	0.004288413	0.0073978486	0.010684377	0.013957797	0.01711626	0.02010186	0.022890741	0.025478225	0.027869735	0.030075671	0.032109167	0.03398117	0.03570336	0.037287198	0.038745634	0.04008568	0.041315697	0.042445242	0.043482207	0.044433933	0.045308284	0.046110235	0.046843722	0.04751333	0.048123837	0.04868006	0.049186636	0.04964795	0.05006812	0.05045094	0.0507999	0.05111819	0.051408727	0.051674142	0.05191624	0.05213636	0.052335907	0.05251631	0.052678965	0.052825212	0.05295633	0.053073533	0.05317795	0.053270634	0.053352576	0.053424682	0.053487796	0.053542472	0.05358903	0.05362787	0.053659435	0.05368418	0.053702578	0.05371508	0.053722158	0.053724233	0.05372174	0.05371507	0.0537046	0.05369069	0.053673692	0.05365391	0.053631645	0.05360718	0.05358078	0.053552672	0.0535231	0.053492267	0.05346036	0.053427566	0.053394053	0.053359978	0.05332548	0.05329069	0.05325573	0.053220697	0.05318571
Sak	Embedding	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sak	Other	0.0	0.0	6.31068e-05	0.00015296513	0.00025049676	0.0003459269	0.00043451283	0.0005142399	0.00058456435	0.0006457192	0.0006983757	0.00074374716	0.0007897291	0.0008405947	0.00090031954	0.0009509355	0.0009843883	0.0010002321	0.0010020551	0.0009956931	0.000983975	0.00096803723	0.0009792163	0.0010233449	0.0010759725	0.0011251828	0.001167971	0.0012054296	0.0012359532	0.0012590159	0.0012749648	0.0012847865	0.0012893503	0.0012892805	0.001285004	0.0012773447	0.0012666464	0.0012541008	0.0012400966	0.0012247916	0.0012087153	0.0011921792	0.0011752652	0.001158441	0.0011419377	0.0011257613	0.0011099313	0.0010944704	0.0010794037	0.0010647525	0.0010505352	0.0010367674	0.0010234583	0.001010615	0.0009982402	0.0009863327	0.00097499054	0.0009642626	0.00095411163	0.0009445049	0.000935413	0.0009268086	0.00091866695	0.0009109635	0.000903676	0.0008967823	0.0008902623	0.00088409643	0.0008782657	0.00087280176	0.0008677268	0.00086301035	0.00085862604	0.000854549	0.00085075677	0.00084722956	0.000843947	0.0008408927	0.00083804963	0.00083540345	0.00083293935	0.00083064457	0.0008285072	0.00082651584	0.00082465983	0.0008229295	0.00082131615	0.0008198103	0.00081840536	0.0008170926	0.00081586593	0.0008147186	0.0008136453	0.00081264466	0.0008117155	0.00081085187	0.0008100483	0.0008093006	0.00080860365	0.0008079531
