Target	Absolute	Relative	Time_Dependent
ad	nan	28	28
ar	nan	26	26
ark	nan	37	37
art	87	37	37
art^st	nan	nan	nan
bab	59	28	28
babi	64	61	61
badi	48	33	33
baks	48	42	42
bar	61	29	29
bark	58	51	51
bat^l	52	42	42
bi	nan	27	27
bist	55	40	40
bit	69	35	35
blak	46	33	33
blu	48	25	25
bl^d	45	34	34
brid	47	33	33
brud	46	33	33
br^S	46	33	33
bust	45	34	34
but	51	31	31
b^b^l	74	46	46
b^k	50	28	28
b^s	51	28	28
b^t	55	29	29
dal	46	28	28
dark	53	38	38
dart	55	39	39
dat	57	28	28
did	60	30	30
dil	53	29	29
dip	51	28	28
drap	46	34	34
dru	50	26	26
dr^g	45	33	33
du	nan	33	33
duti	46	38	38
d^b^l	54	40	40
d^k	48	27	27
d^l	56	29	29
d^st	46	33	33
gad	48	28	28
gard	49	36	36
gat	47	28	28
glu	44	23	23
grik	48	37	37
grit	51	39	39
gru	53	31	31
grup	48	49	49
g^tar	50	42	42
Sak	48	28	28
Sap	53	31	31
Sarp	48	36	36
Sat	55	28	28
Si	nan	30	30
Sild	46	38	38
Sip	53	34	34
Sit	62	35	35
Sr^g	42	29	29
Sut	44	20	20
S^t	47	26	26
ist	83	29	29
it	nan	29	29
kalig	49	42	42
kap	63	31	31
kapi	56	53	53
kar	80	30	30
kard	56	51	51
karp^t	nan	78	78
ki	nan	26	26
kip	60	35	35
klak	49	33	33
klu	51	35	35
kl^b	45	32	32
krap	50	40	40
krip	49	34	34
kru	58	28	28
kruS^l	67	65	65
kru^l	60	57	57
kr^S	48	32	32
kul	56	41	41
k^p	54	28	28
k^p^l	64	66	66
k^t	51	28	28
labi	47	32	32
lak	66	31	31
lat	65	29	29
lid	55	28	28
lig	53	28	28
lig^l	54	55	55
lip	60	29	29
list	54	34	34
lup	51	28	28
lus	50	28	28
l^k	54	28	28
l^kS^ri	69	70	70
l^ki	51	50	50
pak^t	nan	45	45
pal^si	nan	54	54
pap	63	28	28
pap^	57	58	58
par	68	29	29
parS^l	64	63	63
park	60	53	53
part	68	54	54
parti	83	84	84
partli	nan	nan	nan
pas^bli	nan	76	76
pas^b^l	nan	54	54
pat	99	47	47
pi	nan	27	27
pik	56	35	35
pip^l	60	49	49
pis	60	36	36
plat	47	35	35
pl^g	46	37	37
pl^s	nan	39	39
prab^bli	nan	nan	nan
prab^b^l	81	74	74
pradus	55	50	50
prad^kt	70	64	64
pragr^s	59	60	60
prist	50	36	36
pul	44	23	23
p^lis	56	49	49
p^t	49	26	26
rab	50	28	28
rad	57	28	28
rak	58	29	29
rak^t	57	56	56
rid	61	30	30
ril	57	31	31
rili	nan	nan	nan
rul	56	28	28
rupi	51	37	37
rut	59	29	29
r^b	47	27	27
r^g^d	60	51	51
r^S	58	28	28
r^s^l	56	43	43
sal^d	47	31	31
sari	47	38	38
si	nan	29	29
sid	64	37	37
sik	67	37	37
sikr^t	78	74	74
sil	67	37	37
sis	70	39	39
sit	84	38	38
skar	50	36	36
skru	48	37	37
skul	48	38	38
slip	55	42	42
slit	54	42	42
sl^g	45	34	34
spark	54	45	45
spat	48	37	37
spid	50	38	38
spik	54	39	39
stak	52	39	39
stap	56	47	47
star	62	41	41
start	nan	85	85
start^l	nan	nan	nan
stil	58	45	45
stip	57	45	45
strik	63	50	50
strit	80	64	64
str^g^l	nan	92	nan
str^k	56	46	46
stup^d	59	56	56
st^di	57	48	48
st^did	nan	nan	nan
su	nan	27	27
sut	54	34	34
sut^b^l	76	76	76
s^bst^tut	nan	93	nan
s^k	48	26	26
s^ksid	65	67	67
s^t^l	56	41	41
tap	54	27	27
tar	64	31	31
targ^t	nan	63	63
ti	nan	26	26
trat	49	40	40
tri	64	30	30
trit	63	55	55
triti	nan	nan	nan
tru	64	30	30
truli	67	62	62
trup	54	51	51
tr^b^l	65	60	60
tr^k	49	34	34
tr^st	56	47	47
tr^sti	nan	nan	nan
tu	nan	30	30
tub	49	33	33
tul	55	35	35
^	nan	nan	nan
^br^pt	58	50	50
^dapt	48	33	33
^d^lt	58	49	49
^gli	46	30	30
^gri	46	30	30
^lat	48	33	33
^p	nan	28	28
^part	57	47	47
^pil	49	39	39
^s	nan	28	28
^slip	58	47	47
