Target	Category	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
S^t	Target	0.0	0.0	0.001	0.002669279	0.0047650775	0.007111136	0.009581026	0.0120853875	0.01456225	0.01696975	0.019280689	0.021478478	0.026163522	0.032437883	0.039622117	0.04724827	0.055000477	0.062670566	0.07012565	0.07728485	0.08410283	0.09055816	0.10058576	0.11275712	0.126045	0.13973345	0.15334305	0.16656488	0.17920902	0.19116755	0.20238851	0.21285647	0.22258054	0.23158543	0.2399055	0.2475803	0.2546516	0.26116142	0.26715097	0.27265993	0.27772582	0.28238386	0.28666684	0.29060516	0.29422686	0.29755777	0.30062166	0.3034403	0.30603373	0.30842027	0.3106168	0.31263864	0.31449994	0.31621367	0.3177916	0.31924474	0.32058296	0.32181546	0.32295066	0.32399628	0.3249594	0.32584652	0.3266637	0.3274164	0.32810965	0.32874817	0.32933626	0.32987782	0.3303766	0.33083585	0.3312587	0.33164802	0.33200642	0.33233634	0.33264	0.33291945	0.3331766	0.3334132	0.33363083	0.333831	0.33401513	0.3341844	0.33434004	0.3344831	0.33461457	0.3347354	0.33484635	0.3349483	0.3350419	0.33512783	0.33520672	0.3352791	0.3353455	0.33540636	0.33546218	0.33551335	0.33556023	0.33560318	0.3356425	0.33567846
S^t	Cohort	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S^t	Rhyme	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000661842	0.0019191481	0.0034668155	0.0051129647	0.006741829	0.00828781	0.009717666	0.01101847	0.012189587	0.013237342	0.016802618	0.02193666	0.027961781	0.03440651	0.040957052	0.04741163	0.05364497	0.05958374	0.06518978	0.07044698	0.07535452	0.07992121	0.084162064	0.088095486	0.0917413	0.095119454	0.09824974	0.101151176	0.10384178	0.10633826	0.10865617	0.11080974	0.1128121	0.114675164	0.1164099	0.11802626	0.11953336	0.12093952	0.12225232	0.12347869	0.124624945	0.12569691	0.12669986	0.12763868	0.12851782	0.12934141	0.13011323	0.13083677	0.13151526	0.13215168	0.13274877	0.13330908	0.13383497	0.13432868	0.13479224	0.13522755	0.13563639	0.13602044	0.13638122	0.13672024	0.13703878	0.13733815	0.13761951	0.13788398	0.13813259	0.13836633	0.13858606	0.13879268	0.13898695	0.13916965	0.13934147	0.13950306	0.13965505	0.13979802	0.1399325	0.14005898	0.14017798	0.14028995	0.1403953	0.1404944	0.14058764	0.14067541	0.14075798	0.14083569	0.14090878	0.14097758	0.14104235	0.14110328
S^t	Embedding	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00083337375	0.0023084402	0.004157067	0.0061984854	0.00831308	0.010423557	0.012481603	0.014458521	0.016338719	0.018115185	0.019786216	0.021298913	0.022632584	0.02378587	0.024768917	0.025597813	0.026290393	0.026864206	0.027335804	0.027719708	0.028029047	0.0282754	0.028468952	0.028618516	0.02873164	0.028814677	0.028873088	0.028911503	0.028933847	0.028943416	0.028942972	0.02893479	0.028920747	0.028902393	0.028880991	0.028857572	0.028832966	0.028807834	0.028782692	0.028757945	0.0287339	0.02871078	0.028688751	0.028667917	0.028648349	0.028630076	0.028613105	0.028597424	0.028582998	0.028569775	0.028557697	0.0285467	0.028536716	0.028527683	0.028519535	0.028512208	0.02850564	0.02849977	0.02849454	0.028489899	0.028485795	0.02848218	0.02847901	0.028476244	0.02847384	0.028471764	0.028469987	0.028468473	0.028467197	0.028466133	0.02846526	0.02846455	0.02846399	0.02846356	0.028463244	0.028463028	0.0284629	0.028462846	0.028462857	0.028462922	0.028463034	0.028463181	0.02846336	0.028463561	0.028463779	0.028464012	0.028464254	0.0284645
S^t	Other	0.0	0.0	7.692308e-05	0.00020513221	0.0003658323	0.0005453983	0.0007340771	0.00092499366	0.001113397	0.0012960944	0.0014710273	0.0016369567	0.0020150805	0.0025967374	0.0032587748	0.003926699	0.0045581623	0.0051315376	0.0056381817	0.0060772565	0.006452515	0.006770901	0.007292668	0.007937024	0.008638842	0.009328494	0.009961759	0.010520307	0.010999967	0.011402895	0.011738781	0.012015676	0.012241883	0.01242385	0.012568142	0.012680323	0.0127662625	0.012829849	0.0128748305	0.012904396	0.012921636	0.012928709	0.012927613	0.012919901	0.012907062	0.01289026	0.012870388	0.01284822	0.012824381	0.012799406	0.012773741	0.01274773	0.012721682	0.01269584	0.012670399	0.012645493	0.012621224	0.012597685	0.012574931	0.01255301	0.01253199	0.012511895	0.012492727	0.012474462	0.012457076	0.012440561	0.012424875	0.012409992	0.012395878	0.012382513	0.012369854	0.012357869	0.012346532	0.012335808	0.012325665	0.012316082	0.012307029	0.01229847	0.012290387	0.012282759	0.012275548	0.012268741	0.01226232	0.012256244	0.0122505175	0.01224511	0.012240004	0.012235185	0.012230635	0.012226338	0.012222291	0.01221847	0.012214858	0.012211465	0.01220826	0.012205242	0.012202389	0.012199698	0.012197162	0.012194766
Sak	Target	0.0	0.0	0.001	0.002672276	0.0047758613	0.007135425	0.009624866	0.012154746	0.014662752	0.017106522	0.019458277	0.021700809	0.02643331	0.032757387	0.039998848	0.04768946	0.055510473	0.063249916	0.07077119	0.077990256	0.084859364	0.09135533	0.10140861	0.11362779	0.12700117	0.14081688	0.15458985	0.1680004	0.18084694	0.1930117	0.20443459	0.21509486	0.22499835	0.234168	0.24263695	0.25044435	0.25763208	0.26424283	0.27031875	0.2759005	0.28102687	0.28573415	0.29005635	0.29402497	0.2976691	0.30101556	0.30408898	0.30691192	0.30950516	0.3118877	0.31407696	0.31608883	0.3179379	0.31963754	0.32119992	0.3226363	0.32395694	0.32517117	0.3262877	0.32731438	0.32825845	0.32912663	0.32992494	0.33065903	0.33133405	0.33195475	0.33252543	0.33305013	0.33353245	0.33397585	0.3343834	0.334758	0.33510226	0.33541858	0.33570918	0.33597612	0.3362213	0.3364465	0.33665323	0.336843	0.3370172	0.33717707	0.33732373	0.33745828	0.33758166	0.33769476	0.33779842	0.33789337	0.33798036	0.33806002	0.33813295	0.3381997	0.33826077	0.3383166	0.33836764	0.33841428	0.3384569	0.33849576	0.33853123	0.3385636
Sak	Cohort	0.0	0.0	0.001	0.002669612	0.0047662263	0.00711361	0.009585285	0.012091792	0.014571044	0.016981047	0.019294478	0.021494636	0.02604582	0.032077584	0.03893329	0.046164986	0.05347392	0.06066625	0.067620896	0.07426662	0.08056583	0.086503185	0.09207726	0.09722478	0.10192591	0.106188595	0.11003613	0.11350004	0.116613716	0.11941118	0.12192476	0.12418438	0.12621796	0.12805098	0.12970603	0.13120304	0.13255976	0.13379182	0.1349131	0.13593596	0.13687122	0.13772841	0.13851596	0.13924122	0.13991064	0.14052992	0.141104	0.14163733	0.14213371	0.14259656	0.14302889	0.14343335	0.14381228	0.1441678	0.14450178	0.14481586	0.14511156	0.1453902	0.145653	0.14590101	0.1461353	0.14635672	0.1465661	0.1467642	0.14695169	0.14712924	0.1472974	0.14745675	0.14760774	0.14775087	0.14788659	0.1480153	0.14813735	0.14825313	0.14836293	0.14846712	0.14856596	0.14865975	0.14874874	0.14883316	0.14891325	0.14898926	0.14906138	0.1491298	0.14919473	0.1492563	0.14931476	0.14937021	0.1494228	0.14947268	0.14952002	0.1495649	0.1496075	0.14964788	0.14968617	0.1497225	0.14975694	0.14978959	0.14982057	0.14984994
Sak	Rhyme	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00066394743	0.0019184604	0.0034594885	0.0050946386	0.006707074	0.008230116	0.009629689	0.010892374	0.012017378	0.013011105	0.0165152	0.021610808	0.027631635	0.03410951	0.040725067	0.04726628	0.053596698	0.059633814	0.0653317	0.07066945	0.07564359	0.08026181	0.084538504	0.088491954	0.09214242	0.09551084	0.09861818	0.10148479	0.10413003	0.10657206	0.10882779	0.11091278	0.11284128	0.11462629	0.11627973	0.11781241	0.119234204	0.12055408	0.12178019	0.12291996	0.12398015	0.12496692	0.12588589	0.12674218	0.12754047	0.12828507	0.12897989	0.12962854	0.13023435	0.1308003	0.13132927	0.13182378	0.13228622	0.13271882	0.13312359	0.13350242	0.13385707	0.13418913	0.13450009	0.13479137	0.13506424	0.13531992	0.13555956	0.13578413	0.13599467	0.13619202	0.13637708	0.1365506	0.13671336	0.13686597	0.13700914	0.13714346	0.13726945	0.13738766	0.13749857	0.13760264	0.13770032	0.13779198	0.137878	0.13795874	0.13803452	0.13810566	0.13817245	0.13823515	0.138294	0.13834926	0.13840114	0.13844985
Sak	Embedding	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sak	Other	0.0	0.0	6.31068e-05	0.00016823142	0.00029992065	0.00044697925	0.00060139975	0.0007575434	0.00091151916	0.001060717	0.0012034596	0.0013387414	0.0016663392	0.0021790632	0.0027638364	0.0033522483	0.0039054658	0.004403766	0.0048394124	0.005211902	0.0055250716	0.005785765	0.006180366	0.006665371	0.007188036	0.0077043218	0.008188137	0.00862831	0.009017693	0.00935683	0.009648772	0.009895653	0.010101243	0.010270451	0.010407988	0.010518235	0.010605143	0.0106718335	0.0107211415	0.010755658	0.010777714	0.010789363	0.01079245	0.01078868	0.010779421	0.010765782	0.010748707	0.010729005	0.010707347	0.010684308	0.0106603475	0.010635875	0.010611191	0.010586568	0.01056221	0.010538286	0.010514925	0.0104922205	0.0104702525	0.010449066	0.010428709	0.010409188	0.0103905145	0.01037269	0.01035571	0.010339553	0.010324201	0.010309634	0.010295828	0.010282748	0.010270368	0.010258669	0.010247608	0.010237163	0.010227304	0.010217999	0.010209217	0.01020094	0.010193137	0.0101857865	0.010178852	0.010172328	0.010166177	0.010160386	0.010154928	0.010149794	0.01014496	0.0101404	0.010136114	0.010132076	0.0101282755	0.010124696	0.010121325	0.010118154	0.010115164	0.010112348	0.010109699	0.0101072	0.010104853	0.010102635
