Target	Absolute	Relative	Time_Dependent
ad	nan	nan	nan
ar	nan	49	49
ark	nan	38	38
art	nan	37	37
art^st	nan	53	53
bab	60	40	40
babi	47	60	60
badi	41	32	32
baks	41	38	38
bar	64	38	38
bark	44	46	46
bat^l	46	36	36
bi	nan	56	56
bist	42	36	36
bit	51	39	39
blak	nan	32	32
blu	46	26	26
bl^d	42	32	32
brid	nan	32	32
brud	41	31	31
br^S	nan	32	32
bust	nan	32	32
but	46	52	52
b^b^l	71	69	69
b^k	48	28	28
b^s	49	28	28
b^t	54	28	28
dal	46	28	28
dark	44	38	38
dart	45	38	38
dat	53	35	35
did	65	29	29
dil	49	28	28
dip	48	28	28
drap	42	34	34
dru	49	26	26
dr^g	42	32	32
du	nan	67	67
duti	41	35	35
d^b^l	49	35	35
d^k	48	28	28
d^l	54	30	30
d^st	42	32	32
gad	44	38	38
gard	nan	34	34
gat	47	28	28
glu	43	25	25
grik	42	37	37
grit	43	39	39
gru	49	44	44
grup	nan	45	45
g^tar	45	39	39
Sak	45	28	28
Sap	46	44	44
Sarp	nan	34	34
Sat	48	28	28
Si	nan	nan	nan
Sild	40	35	35
Sip	46	32	32
Sit	47	33	33
Sr^g	41	29	29
Sut	43	22	22
S^t	46	26	26
ist	nan	40	40
it	nan	nan	nan
kalig	nan	38	38
kap	57	40	40
kapi	43	46	46
kar	nan	41	41
kard	44	44	44
karp^t	53	57	57
ki	nan	49	49
kip	50	39	39
klak	nan	33	33
klu	47	40	40
kl^b	42	32	32
krap	44	38	38
krip	nan	32	32
kru	61	40	40
kruS^l	nan	52	52
kru^l	nan	54	54
kr^S	nan	35	35
kul	48	42	42
k^p	50	29	29
k^p^l	49	56	56
k^t	55	28	28
labi	42	32	32
lak	55	50	50
lat	60	39	39
lid	54	28	28
lig	51	28	28
lig^l	46	48	48
lip	66	36	36
list	45	34	34
lup	46	28	28
lus	46	28	28
l^k	56	39	39
l^kS^ri	nan	57	57
l^ki	43	46	46
pak^t	nan	42	42
pal^si	nan	55	55
pap	nan	37	37
pap^	52	58	58
par	nan	36	36
parS^l	52	52	52
park	48	46	46
part	53	48	48
parti	nan	58	58
partli	nan	59	59
pas^bli	nan	70	70
pas^b^l	nan	nan	nan
pat	nan	nan	nan
pi	nan	52	52
pik	52	37	37
pip^l	51	43	43
pis	57	33	33
plat	43	33	33
pl^g	42	37	37
pl^s	43	39	39
prab^bli	nan	81	81
prab^b^l	nan	nan	nan
pradus	49	46	46
prad^kt	nan	55	55
pragr^s	55	53	53
prist	46	37	37
pul	45	24	24
p^lis	nan	47	47
p^t	57	27	27
rab	51	28	28
rad	56	28	28
rak	66	28	28
rak^t	nan	48	48
rid	60	43	43
ril	62	41	41
rili	52	nan	nan
rul	59	28	28
rupi	43	38	38
rut	62	29	29
r^b	55	28	28
r^g^d	49	48	48
r^S	52	42	42
r^s^l	52	42	42
sal^d	45	32	32
sari	44	38	38
si	nan	nan	nan
sid	59	49	49
sik	60	44	44
sikr^t	51	54	54
sil	64	36	36
sis	nan	35	35
sit	nan	40	40
skar	43	35	35
skru	42	37	37
skul	nan	38	38
slip	nan	39	39
slit	45	39	39
sl^g	42	35	35
spark	nan	44	44
spat	44	36	36
spid	43	38	38
spik	43	38	38
stak	44	38	38
stap	45	38	38
star	49	45	45
start	nan	nan	nan
start^l	nan	74	74
stil	46	39	39
stip	46	39	39
strik	50	48	48
strit	nan	51	51
str^g^l	nan	62	62
str^k	nan	43	43
stup^d	49	47	47
st^di	nan	55	55
st^did	nan	nan	nan
su	nan	44	44
sut	53	33	33
sut^b^l	53	59	59
s^bst^tut	72	74	74
s^k	52	26	26
s^ksid	52	55	55
s^t^l	52	38	38
tap	55	35	35
tar	nan	34	34
targ^t	51	51	51
ti	nan	36	36
trat	47	38	38
tri	nan	40	40
trit	50	49	49
triti	nan	nan	nan
tru	78	40	40
truli	47	48	48
trup	44	45	45
tr^b^l	56	56	56
tr^k	nan	37	37
tr^st	nan	46	46
tr^sti	nan	nan	nan
tu	nan	nan	nan
tub	45	32	32
tul	49	32	32
^	nan	nan	nan
^br^pt	52	46	46
^dapt	45	32	32
^d^lt	50	49	49
^gli	42	31	31
^gri	42	31	31
^lat	44	32	32
^p	nan	54	54
^part	nan	42	42
^pil	43	36	36
^s	nan	nan	nan
^slip	nan	40	40
