Target	Category	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
S^t	Target	0.0	0.0	0.001	0.002693255	0.0048474353	0.0072886813	0.0098884795	0.012553131	0.015215456	0.017828312	0.020359607	0.02278846	0.02770817	0.034531496	0.042749546	0.05191612	0.061683137	0.07180714	0.08210999	0.09245706	0.10255946	0.11177617	0.124057695	0.13843387	0.15409002	0.170396	0.18691942	0.20335352	0.21946952	0.23510632	0.24999414	0.26412535	0.2770213	0.28840253	0.29846588	0.30736417	0.31522614	0.32216313	0.3282722	0.33363843	0.3382018	0.34206966	0.34533042	0.34805742	0.35031343	0.35215235	0.35362083	0.3547593	0.35560304	0.35618284	0.3565258	0.35665584	0.35659406	0.35635918	0.35596794	0.35543525	0.35477442	0.3539974	0.35311502	0.3521369	0.3510718	0.34992766	0.34871167	0.34743035	0.3460896	0.34469485	0.34325105	0.3417626	0.34023368	0.33866805	0.33706915	0.33544013	0.3337839	0.33210307	0.33040014	0.32867733	0.32693675	0.32518026	0.32340968	0.32162657	0.31983247	0.31802875	0.31621668	0.31439745	0.31257215	0.31074178	0.30890733	0.30706957	0.30522937	0.30338746	0.30154452	0.29970115	0.29785803	0.29601565	0.29417455	0.29233524	0.29049808	0.28866354	0.28683197	0.28500372
S^t	Cohort	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S^t	Rhyme	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.7467685e-05	0.00043430823	0.0010312548	0.001689975	0.0023268468	0.002898223	0.0033821706	0.0037669006	0.004061383	0.0069446024	0.011692145	0.017676724	0.024408711	0.031572077	0.03895169	0.04638691	0.053765986	0.060814764	0.06755266	0.0733967	0.07850532	0.08300403	0.08697731	0.09049163	0.0936026	0.09635723	0.098795645	0.100769795	0.1023567	0.10361708	0.10459894	0.10534225	0.10588046	0.10624162	0.10644945	0.10652395	0.10648221	0.10633875	0.106106035	0.105794825	0.10541437	0.10497274	0.10447695	0.103933126	0.1033467	0.10272241	0.10206448	0.101376675	0.10066233	0.09992447	0.099165775	0.098388664	0.09759536	0.09678783	0.0959679	0.09513721	0.09429726	0.09344944	0.092595	0.091735095	0.09087077	0.090003036	0.08913275	0.08826075	0.0873878	0.086514615	0.08564181	0.084769994	0.08389973	0.08303149	0.08216576	0.08130298	0.080443524	0.079587765	0.07873604	0.077888645	0.07704586	0.07620796	0.075375155	0.07454768	0.07372572	0.07290947	0.07209906	0.07129467	0.07049642	0.06970441	0.06891877
S^t	Embedding	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00021594716	0.0011788846	0.002690184	0.004565022	0.006662627	0.0088925855	0.011194168	0.013524787	0.015852544	0.018160462	0.020442938	0.022581523	0.024487223	0.026112383	0.027457952	0.02854374	0.029392514	0.030031389	0.030289486	0.030237122	0.029923767	0.029416675	0.02876542	0.028003357	0.027156413	0.026245648	0.02528821	0.024298057	0.023286544	0.022272944	0.021270923	0.020289851	0.019336548	0.018415816	0.017530877	0.016683709	0.01587532	0.0151059795	0.014375377	0.013682784	0.013027147	0.012407197	0.011821501	0.011268532	0.010746706	0.0102544185	0.00979007	0.009352088	0.008938938	0.008549137	0.00818126	0.007833945	0.0075058937	0.0071958816	0.006902745	0.006625389	0.006362785	0.0061139665	0.0058780294	0.005654127	0.0054414687	0.0052393163	0.0050469814	0.00486382	0.004689239	0.004522679	0.004363625	0.0042115953	0.004066145	0.0039268592	0.0037933534	0.00366527	0.0035422784	0.003424069	0.003310356	0.0032008742	0.003095377	0.002993637	0.0028954414	0.0028005922	0.0027089077	0.0026202172	0.0025343625	0.0024511975	0.0023705864	0.0022924014	0.0022165237	0.0021428447
S^t	Other	0.0	0.0	7.692308e-05	0.00020618887	0.00036928075	0.00055243704	0.00074557366	0.0009414215	0.0011348457	0.001322319	0.0015015124	0.0016709851	0.0018827034	0.0021383304	0.0024390812	0.002762009	0.0030768155	0.0033695276	0.0036347616	0.0038724227	0.004069539	0.0042286348	0.0044469843	0.004711347	0.004995539	0.0052629043	0.0055013406	0.0057144514	0.0058998885	0.006059866	0.0061769066	0.0062672244	0.0063214367	0.0063457955	0.0063524786	0.0063462043	0.006329822	0.0063054436	0.0062747644	0.0062391493	0.006190568	0.0061329687	0.0060694	0.006001513	0.00593062	0.0058577554	0.0057837325	0.0057091927	0.0056346324	0.0055604335	0.005486894	0.00541423	0.005342607	0.0052721384	0.0052029067	0.005134958	0.005068325	0.0050030155	0.004939025	0.0048763384	0.0048149386	0.0047547924	0.004695869	0.0046381373	0.0045815567	0.004526093	0.0044717053	0.0044183596	0.0043660165	0.0043146405	0.0042641973	0.004214654	0.0041659772	0.004118133	0.0040710955	0.0040248353	0.003979324	0.003934536	0.00389045	0.0038470388	0.0038042818	0.0037621583	0.00372065	0.003679735	0.003639399	0.003599621	0.00356039	0.0035216874	0.0034834999	0.0034458148	0.003408618	0.0033718986	0.0033356447	0.0032998438	0.003264487	0.0032295645	0.0031950655	0.0031609829	0.0031273058	0.0030940273
Sak	Target	0.0	0.0	0.001	0.00270824	0.004900855	0.0074078054	0.010101218	0.012885963	0.015692163	0.018469296	0.021181602	0.023804517	0.028925106	0.03595934	0.044371445	0.053677075	0.06351074	0.07362873	0.08385553	0.094056465	0.10394463	0.11287615	0.12480369	0.13875431	0.15394989	0.16982102	0.18595251	0.20202824	0.21782295	0.23317438	0.24781178	0.2617215	0.2744366	0.28569764	0.29570258	0.30460575	0.3125351	0.3195969	0.32588065	0.3314647	0.33628222	0.34043905	0.34402	0.3470949	0.34972197	0.35195062	0.35382292	0.35537505	0.35663837	0.3576403	0.358405	0.3589537	0.35930535	0.35947698	0.35948378	0.35933945	0.35905644	0.3586461	0.35811868	0.35748357	0.35674933	0.35592383	0.35501426	0.35402727	0.352969	0.35184503	0.35066065	0.34942067	0.34812945	0.3467912	0.34540966	0.34398836	0.34253055	0.34103927	0.33951733	0.33796734	0.33639172	0.33479267	0.3331723	0.33153257	0.32987523	0.32820198	0.32651436	0.32481387	0.32310185	0.3213795	0.3196481	0.31790859	0.31616208	0.31440952	0.31265175	0.31088963	0.30912393	0.30735537	0.3055846	0.30381227	0.3020389	0.3002651	0.29849133	0.2967181
Sak	Cohort	0.0	0.0	0.001	0.00269492	0.004852136	0.0072963242	0.009896911	0.01255794	0.015210024	0.017804032	0.02030619	0.022694262	0.027424797	0.03392567	0.041680127	0.050221235	0.059197977	0.06838662	0.07763078	0.08681328	0.095661454	0.10359254	0.11071769	0.116917096	0.12213776	0.12641107	0.12981279	0.13241212	0.13428849	0.13552086	0.13600804	0.1358691	0.13520308	0.13413827	0.13277237	0.13117704	0.12940846	0.12750939	0.12551242	0.1234442	0.121326484	0.11923113	0.117177784	0.115173616	0.11322317	0.11132896	0.109492004	0.10771228	0.10598896	0.10432067	0.102705635	0.10114179	0.09962688	0.09815862	0.096734725	0.095352925	0.09401103	0.09270691	0.091438554	0.09020396	0.08900126	0.08782867	0.08668453	0.085567296	0.084475495	0.0834078	0.08236293	0.08133971	0.08033705	0.07935393	0.0783894	0.07744259	0.076512665	0.075598866	0.07470048	0.073816866	0.07294739	0.0720915	0.07124864	0.07041835	0.06960014	0.0687936	0.067998335	0.06721395	0.06644011	0.0656765	0.0649228	0.06417873	0.063444026	0.06271844	0.062001735	0.061293688	0.060594093	0.05990277	0.05921952	0.058544178	0.057876587	0.057216585	0.056564033	0.0559188
Sak	Rhyme	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00012009608	0.00057652546	0.0012238567	0.0018906596	0.0025045995	0.003035413	0.0034684734	0.0037988224	0.004036382	0.006863439	0.011464263	0.017192861	0.023602344	0.03038424	0.037306428	0.044214472	0.051001914	0.057402566	0.06343885	0.06854461	0.072913565	0.07668744	0.079965204	0.082824096	0.085323274	0.08750873	0.08941909	0.09090234	0.092044845	0.09291237	0.09355594	0.0940156	0.09432314	0.09450397	0.09457846	0.09456303	0.09447101	0.09431333	0.094099	0.09383547	0.093529016	0.09318486	0.0928074	0.0924004	0.09196709	0.0915103	0.091032475	0.09053579	0.090022154	0.089493275	0.088950664	0.088395715	0.08782966	0.087253615	0.08666861	0.08607558	0.085475385	0.0848688	0.084256545	0.08363931	0.08301768	0.08239224	0.081763506	0.08113198	0.08049811	0.07986232	0.079225	0.07858655	0.07794729	0.07730757	0.07666767	0.0760279	0.075388536	0.07474981	0.07411198	0.07347525	0.07283984	0.072205946	0.071573734	0.070943385	0.07031508	0.069688946	0.06906513	0.068443775	0.067825004	0.06720893	0.06659566
Sak	Embedding	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sak	Other	0.0	0.0	6.31068e-05	0.00016887157	0.00030194453	0.00045096508	0.0006076497	0.00076606305	0.0009220443	0.0010727633	0.0012163788	0.0013517771	0.0014876352	0.0016491907	0.0018545794	0.0020797427	0.0022880957	0.002467856	0.0026183673	0.002741108	0.002829751	0.0028911242	0.0030334117	0.0032253917	0.0034262813	0.0036180743	0.0038032446	0.0039734277	0.0041262335	0.004262455	0.004368117	0.00445012	0.0044903676	0.0045048646	0.004504128	0.004492898	0.0044753137	0.004454303	0.004430972	0.0044063907	0.0043654027	0.004313005	0.004252884	0.0041877558	0.0041194484	0.0040493407	0.003978479	0.0039076903	0.003837489	0.0037682708	0.0037004089	0.003634067	0.0035693417	0.0035062917	0.0034449676	0.003385353	0.003327417	0.0032711115	0.0032164361	0.0031633435	0.0031117639	0.0030616263	0.0030128625	0.0029654105	0.0029192027	0.0028741802	0.0028302872	0.0027874687	0.0027456756	0.0027048572	0.0026649714	0.0026259758	0.0025878279	0.0025504993	0.002513958	0.0024781704	0.0024431066	0.002408735	0.002375029	0.0023419631	0.0023095123	0.0022776553	0.002246371	0.0022156406	0.0021854446	0.0021557657	0.0021265878	0.0020978965	0.0020696768	0.002041916	0.0020146004	0.0019877183	0.0019612578	0.0019352089	0.0019095612	0.0018843033	0.0018594288	0.0018349268	0.0018107904	0.0017870096
