Target	Absolute	Relative	Time_Dependent
ad	nan	28	28
ar	nan	25	25
ark	nan	32	32
art	nan	32	32
art^st	nan	55	55
bab	39	28	28
babi	nan	52	52
badi	38	31	31
baks	39	38	38
bar	45	29	29
bark	42	44	44
bat^l	45	36	36
bi	nan	27	27
bist	40	35	35
bit	41	32	32
blak	38	32	32
blu	35	25	25
bl^d	38	32	32
brid	39	31	31
brud	38	31	31
br^S	nan	31	31
bust	nan	32	32
but	36	31	31
b^b^l	50	42	42
b^k	37	27	27
b^s	37	27	27
b^t	41	28	28
dal	36	27	27
dark	42	36	36
dart	43	37	37
dat	41	27	27
did	40	28	28
dil	38	27	27
dip	37	27	27
drap	39	33	33
dru	38	25	25
dr^g	38	32	32
du	nan	28	28
duti	37	35	35
d^b^l	nan	35	35
d^k	36	26	26
d^l	40	28	28
d^st	38	31	31
gad	34	27	27
gard	nan	34	34
gat	35	27	27
glu	33	23	23
grik	39	36	36
grit	41	38	38
gru	39	31	31
grup	nan	43	43
g^tar	44	37	37
Sak	35	27	27
Sap	36	30	30
Sarp	nan	33	33
Sat	37	27	27
Si	nan	30	30
Sild	37	35	35
Sip	36	31	31
Sit	38	32	32
Sr^g	37	28	28
Sut	33	18	18
S^t	35	25	25
ist	nan	29	29
it	nan	29	29
kalig	nan	38	38
kap	48	29	29
kapi	42	44	44
kar	nan	30	30
kard	42	43	43
karp^t	nan	57	57
ki	nan	25	25
kip	40	32	32
klak	39	31	31
klu	38	33	33
kl^b	39	31	31
krap	41	37	37
krip	nan	32	32
kru	49	28	28
kruS^l	nan	53	53
kru^l	nan	48	48
kr^S	41	31	31
kul	38	36	36
k^p	38	27	27
k^p^l	nan	54	54
k^t	40	27	27
labi	38	30	30
lak	46	32	32
lat	nan	29	29
lid	40	27	27
lig	40	27	27
lig^l	nan	47	47
lip	46	27	27
list	42	32	32
lup	36	27	27
lus	36	27	27
l^k	42	27	27
l^kS^ri	nan	57	57
l^ki	41	44	44
pak^t	46	41	41
pal^si	nan	57	57
pap	42	27	27
pap^	nan	49	49
par	nan	28	28
parS^l	51	51	51
park	46	44	44
part	nan	46	46
parti	55	55	55
partli	nan	59	59
pas^bli	nan	69	69
pas^b^l	nan	59	59
pat	nan	nan	nan
pi	nan	26	26
pik	40	31	31
pip^l	47	43	43
pis	44	32	32
plat	39	33	33
pl^g	39	36	36
pl^s	40	38	38
prab^bli	nan	79	79
prab^b^l	nan	nan	nan
pradus	48	48	48
prad^kt	nan	57	57
pragr^s	51	52	52
prist	44	36	36
pul	34	21	21
p^lis	48	48	48
p^t	40	25	25
rab	38	27	27
rad	43	27	27
rak	51	27	27
rak^t	47	48	48
rid	45	30	30
ril	45	30	30
rili	nan	57	57
rul	45	27	27
rupi	41	37	37
rut	45	27	27
r^b	39	27	27
r^g^d	47	46	46
r^S	41	28	28
r^s^l	47	40	40
sal^d	41	29	29
sari	40	37	37
si	nan	30	30
sid	49	33	33
sik	47	32	32
sikr^t	53	53	53
sil	51	31	31
sis	41	32	32
sit	nan	32	32
skar	40	34	34
skru	39	36	36
skul	38	37	37
slip	42	39	39
slit	43	39	39
sl^g	39	34	34
spark	46	43	43
spat	40	35	35
spid	40	36	36
spik	41	37	37
stak	42	36	36
stap	43	40	40
star	46	38	38
start	nan	nan	nan
start^l	nan	75	75
stil	44	39	39
stip	44	39	39
strik	51	48	48
strit	nan	49	49
str^g^l	nan	62	62
str^k	nan	43	43
stup^d	49	47	47
st^di	nan	45	45
st^did	nan	nan	nan
su	nan	25	25
sut	39	32	32
sut^b^l	nan	55	55
s^bst^tut	nan	79	79
s^k	38	25	25
s^ksid	nan	54	54
s^t^l	48	38	38
tap	40	26	26
tar	nan	29	29
targ^t	51	50	50
ti	nan	23	23
trat	41	38	38
tri	nan	29	29
trit	47	45	45
triti	nan	nan	nan
tru	nan	29	29
truli	48	50	50
trup	42	43	43
tr^b^l	nan	59	59
tr^k	42	32	32
tr^st	nan	43	43
tr^sti	nan	71	71
tu	nan	29	29
tub	35	30	30
tul	38	31	31
^	nan	nan	nan
^br^pt	nan	45	45
^dapt	42	31	31
^d^lt	47	48	48
^gli	39	29	29
^gri	39	29	29
^lat	40	31	31
^p	nan	26	26
^part	47	42	42
^pil	40	36	36
^s	nan	27	27
^slip	nan	42	42
