Feedback_Excitation	Feedback_Inhibition	Continuum_Step	bus_Size	rush_Size	Avg_Size
0.0	-0.15	0	0.0	0.0	0.0
0.0	-0.15	1	0.0	0.0	0.0
0.0	-0.15	2	0.0	0.0	0.0
0.0	-0.15	3	0.03792566	0.107999206	0.07296243
0.0	-0.15	4	0.0	0.0	0.0
0.0	-0.15	5	0.0	0.0	0.0
0.0	-0.15	6	0.0	0.0	0.0
0.0	-0.14	0	0.0	0.0	0.0
0.0	-0.14	1	0.0	0.0	0.0
0.0	-0.14	2	0.0	0.0	0.0
0.0	-0.14	3	0.032181323	0.092879	0.06253016
0.0	-0.14	4	0.0	0.0	0.0
0.0	-0.14	5	0.0	0.0	0.0
0.0	-0.14	6	0.0	0.0	0.0
0.0	-0.13	0	0.0	0.0	0.0
0.0	-0.13	1	0.0	0.0	0.0
0.0	-0.13	2	0.0	0.0	0.0
0.0	-0.13	3	0.027529001	0.07981095	0.053669974
0.0	-0.13	4	0.0	0.0	0.0
0.0	-0.13	5	0.0	0.0	0.0
0.0	-0.13	6	0.0	0.0	0.0
0.0	-0.12	0	0.0	0.0	0.0
0.0	-0.12	1	0.0	0.0	0.0
0.0	-0.12	2	0.0	0.0	0.0
0.0	-0.12	3	0.023655176	0.068461	0.04605809
0.0	-0.12	4	0.0	0.0	0.0
0.0	-0.12	5	0.0	0.0	0.0
0.0	-0.12	6	0.0	0.0	0.0
0.0	-0.11	0	0.0	0.0	0.0
0.0	-0.11	1	0.0	0.0	0.0
0.0	-0.11	2	0.0	0.0	0.0
0.0	-0.11	3	0.020366251	0.058549315	0.039457783
0.0	-0.11	4	0.0	0.0	0.0
0.0	-0.11	5	0.0	0.0	0.0
0.0	-0.11	6	0.0	0.0	0.0
0.0	-0.1	0	0.0	0.0	0.0
0.0	-0.1	1	0.0	0.0	0.0
0.0	-0.1	2	0.0	0.0	0.0
0.0	-0.1	3	0.01760751	0.049761266	0.033684388
0.0	-0.1	4	0.0	0.0	0.0
0.0	-0.1	5	0.0	0.0	0.0
0.0	-0.1	6	0.0	0.0	0.0
0.0	-0.09	0	0.0	0.0	0.0
0.0	-0.09	1	0.0	0.0	0.0
0.0	-0.09	2	0.0	0.0	0.0
0.0	-0.09	3	0.015170634	0.04196781	0.028569221
0.0	-0.09	4	0.0	0.0	0.0
0.0	-0.09	5	0.0	0.0	0.0
0.0	-0.09	6	0.0	0.0	0.0
0.0	-0.08	0	0.0	0.0	0.0
0.0	-0.08	1	0.0	0.0	0.0
0.0	-0.08	2	0.0	0.0	0.0
0.0	-0.08	3	0.013037801	0.035039544	0.024038672
0.0	-0.08	4	0.0	0.0	0.0
0.0	-0.08	5	0.0	0.0	0.0
0.0	-0.08	6	0.0	0.0	0.0
0.0	-0.07	0	0.0	0.0	0.0
0.0	-0.07	1	0.0	0.0	0.0
0.0	-0.07	2	0.0	0.0	0.0
0.0	-0.07	3	0.011043549	0.028862208	0.019952878
0.0	-0.07	4	0.0	0.0	0.0
0.0	-0.07	5	0.0	0.0	0.0
0.0	-0.07	6	0.0	0.0	0.0
0.0	-0.06	0	0.0	0.0	0.0
0.0	-0.06	1	0.0	0.0	0.0
0.0	-0.06	2	0.0	0.0	0.0
0.0	-0.06	3	0.009167314	0.023343623	0.016255468
0.0	-0.06	4	0.0	0.0	0.0
0.0	-0.06	5	0.0	0.0	0.0
0.0	-0.06	6	0.0	0.0	0.0
0.0	-0.05	0	0.0	0.0	0.0
0.0	-0.05	1	0.0	0.0	0.0
0.0	-0.05	2	0.0	0.0	0.0
0.0	-0.05	3	0.007406831	0.018398315	0.012902573
0.0	-0.05	4	0.0	0.0	0.0
0.0	-0.05	5	0.0	0.0	0.0
0.0	-0.05	6	0.0	0.0	0.0
0.0	-0.04	0	0.0	0.0	0.0
0.0	-0.04	1	0.0	0.0	0.0
0.0	-0.04	2	0.0	0.0	0.0
0.0	-0.04	3	0.0057389736	0.013941675	0.0098403245
0.0	-0.04	4	0.0	0.0	0.0
0.0	-0.04	5	0.0	0.0	0.0
0.0	-0.04	6	0.0	0.0	0.0
0.0	-0.03	0	0.0	0.0	0.0
0.0	-0.03	1	0.0	0.0	0.0
0.0	-0.03	2	0.0	0.0	0.0
0.0	-0.03	3	0.00415051	0.009916425	0.0070334673
0.0	-0.03	4	0.0	0.0	0.0
0.0	-0.03	5	0.0	0.0	0.0
0.0	-0.03	6	0.0	0.0	0.0
0.0	-0.02	0	0.0	0.0	0.0
0.0	-0.02	1	0.0	0.0	0.0
0.0	-0.02	2	0.0	0.0	0.0
0.0	-0.02	3	0.0026655197	0.006278336	0.004471928
0.0	-0.02	4	0.0	0.0	0.0
0.0	-0.02	5	0.0	0.0	0.0
0.0	-0.02	6	0.0	0.0	0.0
0.0	-0.01	0	0.0	0.0	0.0
0.0	-0.01	1	0.0	0.0	0.0
0.0	-0.01	2	0.0	0.0	0.0
0.0	-0.01	3	0.0012840033	0.0029855967	0.0021348
0.0	-0.01	4	0.0	0.0	0.0
0.0	-0.01	5	0.0	0.0	0.0
0.0	-0.01	6	0.0	0.0	0.0
0.0	0.0	0	0.0	0.0	0.0
0.0	0.0	1	0.0	0.0	0.0
0.0	0.0	2	0.0	0.0	0.0
0.0	0.0	3	0.0	0.0	0.0
0.0	0.0	4	0.0	0.0	0.0
0.0	0.0	5	0.0	0.0	0.0
0.0	0.0	6	0.0	0.0	0.0
0.01	-0.15	0	0.0	0.0	0.0
0.01	-0.15	1	0.0	0.0	0.0
0.01	-0.15	2	0.0	0.0	0.0
0.01	-0.15	3	0.041352987	0.11749831	0.07942565
0.01	-0.15	4	0.0	0.0	0.0
0.01	-0.15	5	0.0	0.0	0.0
0.01	-0.15	6	0.0	0.0	0.0
0.01	-0.14	0	0.0	0.0	0.0
0.01	-0.14	1	0.0	0.0	0.0
0.01	-0.14	2	0.0	0.0	0.0
0.01	-0.14	3	0.035073698	0.10121879	0.06814624
0.01	-0.14	4	0.0	0.0	0.0
0.01	-0.14	5	0.0	0.0	0.0
0.01	-0.14	6	0.0	0.0	0.0
0.01	-0.13	0	0.0	0.0	0.0
0.01	-0.13	1	0.0	0.0	0.0
0.01	-0.13	2	0.0	0.0	0.0
0.01	-0.13	3	0.03003484	0.08724937	0.058642104
0.01	-0.13	4	0.0	0.0	0.0
0.01	-0.13	5	0.0	0.0	0.0
0.01	-0.13	6	0.0	0.0	0.0
0.01	-0.12	0	0.0	0.0	0.0
0.01	-0.12	1	0.0	0.0	0.0
0.01	-0.12	2	0.0	0.0	0.0
0.01	-0.12	3	0.02586776	0.07514012	0.05050394
0.01	-0.12	4	0.0	0.0	0.0
0.01	-0.12	5	0.0	0.0	0.0
0.01	-0.12	6	0.0	0.0	0.0
0.01	-0.11	0	0.0	0.0	0.0
0.01	-0.11	1	0.0	0.0	0.0
0.01	-0.11	2	0.0	0.0	0.0
0.01	-0.11	3	0.022385359	0.064596	0.043490678
0.01	-0.11	4	0.0	0.0	0.0
0.01	-0.11	5	0.0	0.0	0.0
0.01	-0.11	6	0.0	0.0	0.0
0.01	-0.1	0	0.0	0.0	0.0
0.01	-0.1	1	0.0	0.0	0.0
0.01	-0.1	2	0.0	0.0	0.0
0.01	-0.1	3	0.019466758	0.05529031	0.037378535
0.01	-0.1	4	0.0	0.0	0.0
0.01	-0.1	5	0.0	0.0	0.0
0.01	-0.1	6	0.0	0.0	0.0
0.01	-0.09	0	0.0	0.0	0.0
0.01	-0.09	1	0.0	0.0	0.0
0.01	-0.09	2	0.0	0.0	0.0
0.01	-0.09	3	0.016900957	0.04703945	0.031970203
0.01	-0.09	4	0.0	0.0	0.0
