Feedback_Excitation	Feedback_Inhibition	Participant_Index	Noise_LOC	Reaction_Time	Accuracy
0.0	-0.15	0	0	40.85245901639344	0.8632075471698113
0.0	-0.15	0	0.01	41.174418604651166	0.8113207547169812
0.0	-0.15	0	0.02	56.58641975308642	0.7641509433962265
0.0	-0.15	0	0.03	63.48913043478261	0.4339622641509434
0.0	-0.15	0	0.04	70.96875	0.3018867924528302
0.0	-0.15	0	0.05	68.66666666666667	0.16981132075471697
0.0	-0.15	0	0.06	67.96	0.1179245283018868
0.0	-0.15	0	0.07	72.63333333333334	0.14150943396226415
0.0	-0.15	0	0.08	71.22222222222223	0.08490566037735849
0.0	-0.15	0	0.09	69.3529411764706	0.08018867924528301
0.0	-0.15	0	0.1	60.92307692307692	0.06132075471698113
0.0	-0.15	0	0.11	57.0	0.06132075471698113
0.0	-0.15	0	0.12	66.5	0.05660377358490566
0.0	-0.15	0	0.13	69.07142857142857	0.0660377358490566
0.0	-0.15	0	0.14	67.5	0.07547169811320754
0.0	-0.15	0	0.15	56.92307692307692	0.06132075471698113
0.0	-0.15	1	0	40.85245901639344	0.8632075471698113
0.0	-0.15	1	0.01	41.89204545454545	0.8301886792452831
0.0	-0.15	1	0.02	56.73125	0.7547169811320755
0.0	-0.15	1	0.03	63.88297872340426	0.44339622641509435
0.0	-0.15	1	0.04	71.82758620689656	0.27358490566037735
0.0	-0.15	1	0.05	70.8	0.21226415094339623
0.0	-0.15	1	0.06	70.75862068965517	0.13679245283018868
0.0	-0.15	1	0.07	66.33333333333333	0.12735849056603774
0.0	-0.15	1	0.08	68.16666666666667	0.08490566037735849
0.0	-0.15	1	0.09	69.2	0.07075471698113207
0.0	-0.15	1	0.1	64.46666666666667	0.07075471698113207
0.0	-0.15	1	0.11	69.46666666666667	0.07075471698113207
0.0	-0.15	1	0.12	57.2	0.07075471698113207
0.0	-0.15	1	0.13	63.25	0.05660377358490566
0.0	-0.15	1	0.14	66.61538461538461	0.06132075471698113
0.0	-0.15	1	0.15	62.785714285714285	0.0660377358490566
0.0	-0.15	2	0	40.85245901639344	0.8632075471698113
0.0	-0.15	2	0.01	42.202312138728324	0.8160377358490566
0.0	-0.15	2	0.02	55.40490797546012	0.7688679245283019
0.0	-0.15	2	0.03	65.76530612244898	0.46226415094339623
0.0	-0.15	2	0.04	69.11538461538461	0.24528301886792453
0.0	-0.15	2	0.05	72.21951219512195	0.19339622641509435
0.0	-0.15	2	0.06	70.71875	0.1509433962264151
0.0	-0.15	2	0.07	67.1	0.09433962264150944
0.0	-0.15	2	0.08	68.55555555555556	0.08490566037735849
0.0	-0.15	2	0.09	63.3125	0.07547169811320754
0.0	-0.15	2	0.1	71.0	0.0660377358490566
0.0	-0.15	2	0.11	70.28571428571429	0.0660377358490566
0.0	-0.15	2	0.12	66.13333333333334	0.07075471698113207
0.0	-0.15	2	0.13	59.76923076923077	0.06132075471698113
0.0	-0.15	2	0.14	66.93333333333334	0.07075471698113207
0.0	-0.15	2	0.15	61.25	0.05660377358490566
0.0	-0.15	3	0	40.85245901639344	0.8632075471698113
0.0	-0.15	3	0.01	41.3859649122807	0.8066037735849056
0.0	-0.15	3	0.02	56.03012048192771	0.7830188679245284
0.0	-0.15	3	0.03	65.37373737373737	0.4669811320754717
0.0	-0.15	3	0.04	72.98333333333333	0.2830188679245283
0.0	-0.15	3	0.05	71.9090909090909	0.20754716981132076
0.0	-0.15	3	0.06	72.0	0.15566037735849056
0.0	-0.15	3	0.07	67.31818181818181	0.10377358490566038
0.0	-0.15	3	0.08	68.45	0.09433962264150944
0.0	-0.15	3	0.09	70.55	0.09433962264150944
0.0	-0.15	3	0.1	68.0	0.07075471698113207
0.0	-0.15	3	0.11	67.33333333333333	0.07075471698113207
0.0	-0.15	3	0.12	65.42857142857143	0.0660377358490566
0.0	-0.15	3	0.13	51.81818181818182	0.05188679245283019
0.0	-0.15	3	0.14	66.35714285714286	0.0660377358490566
0.0	-0.15	3	0.15	67.0909090909091	0.05188679245283019
0.0	-0.15	4	0	40.85245901639344	0.8632075471698113
0.0	-0.15	4	0.01	41.67052023121387	0.8160377358490566
0.0	-0.15	4	0.02	55.98125	0.7547169811320755
0.0	-0.15	4	0.03	63.27906976744186	0.4056603773584906
0.0	-0.15	4	0.04	71.20338983050847	0.2783018867924528
0.0	-0.15	4	0.05	69.58974358974359	0.18396226415094338
0.0	-0.15	4	0.06	69.2258064516129	0.14622641509433962
0.0	-0.15	4	0.07	70.34782608695652	0.10849056603773585
0.0	-0.15	4	0.08	72.25	0.09433962264150944
0.0	-0.15	4	0.09	63.25	0.07547169811320754
0.0	-0.15	4	0.1	70.06666666666666	0.07075471698113207
0.0	-0.15	4	0.11	62.411764705882355	0.08018867924528301
0.0	-0.15	4	0.12	61.76923076923077	0.06132075471698113
0.0	-0.15	4	0.13	68.75	0.05660377358490566
0.0	-0.15	4	0.14	62.666666666666664	0.05660377358490566
0.0	-0.15	4	0.15	57.083333333333336	0.05660377358490566
0.0	-0.15	5	0	40.85245901639344	0.8632075471698113
0.0	-0.15	5	0.01	41.68208092485549	0.8160377358490566
0.0	-0.15	5	0.02	56.01219512195122	0.7735849056603774
0.0	-0.15	5	0.03	63.913978494623656	0.4386792452830189
0.0	-0.15	5	0.04	69.98181818181818	0.25943396226415094
0.0	-0.15	5	0.05	68.82926829268293	0.19339622641509435
0.0	-0.15	5	0.06	67.46153846153847	0.12264150943396226
0.0	-0.15	5	0.07	70.81818181818181	0.10377358490566038
0.0	-0.15	5	0.08	65.33333333333333	0.08490566037735849
0.0	-0.15	5	0.09	67.47058823529412	0.08018867924528301
0.0	-0.15	5	0.1	68.2	0.07075471698113207
0.0	-0.15	5	0.11	66.92857142857143	0.0660377358490566
0.0	-0.15	5	0.12	62.38461538461539	0.06132075471698113
0.0	-0.15	5	0.13	66.53333333333333	0.07075471698113207
0.0	-0.15	5	0.14	71.92857142857143	0.0660377358490566
0.0	-0.15	5	0.15	62.76923076923077	0.06132075471698113
0.0	-0.15	6	0	40.85245901639344	0.8632075471698113
0.0	-0.15	6	0.01	40.74418604651163	0.8113207547169812
0.0	-0.15	6	0.02	55.80722891566265	0.7830188679245284
0.0	-0.15	6	0.03	65.53932584269663	0.419811320754717
0.0	-0.15	6	0.04	72.03636363636363	0.25943396226415094
0.0	-0.15	6	0.05	72.07142857142857	0.19811320754716982
0.0	-0.15	6	0.06	73.96875	0.1509433962264151
0.0	-0.15	6	0.07	72.57692307692308	0.12264150943396226
0.0	-0.15	6	0.08	64.57142857142857	0.09905660377358491
0.0	-0.15	6	0.09	69.94117647058823	0.08018867924528301
0.0	-0.15	6	0.1	65.14285714285714	0.0660377358490566
0.0	-0.15	6	0.11	66.0	0.07075471698113207
0.0	-0.15	6	0.12	64.0	0.05660377358490566
0.0	-0.15	6	0.13	58.61538461538461	0.06132075471698113
0.0	-0.15	6	0.14	56.38461538461539	0.06132075471698113
0.0	-0.15	6	0.15	67.25	0.05660377358490566
0.0	-0.15	7	0	40.85245901639344	0.8632075471698113
0.0	-0.15	7	0.01	41.65895953757225	0.8160377358490566
0.0	-0.15	7	0.02	55.5125	0.7547169811320755
0.0	-0.15	7	0.03	65.79787234042553	0.44339622641509435
0.0	-0.15	7	0.04	67.84905660377359	0.25
0.0	-0.15	7	0.05	72.76744186046511	0.2028301886792453
0.0	-0.15	7	0.06	70.8125	0.1509433962264151
0.0	-0.15	7	0.07	66.84615384615384	0.12264150943396226
0.0	-0.15	7	0.08	67.47619047619048	0.09905660377358491
0.0	-0.15	7	0.09	61.05882352941177	0.08018867924528301
0.0	-0.15	7	0.1	66.94444444444444	0.08490566037735849
0.0	-0.15	7	0.11	65.375	0.07547169811320754
0.0	-0.15	7	0.12	67.0	0.05660377358490566
0.0	-0.15	7	0.13	63.30769230769231	0.06132075471698113
0.0	-0.15	7	0.14	68.16666666666667	0.05660377358490566
0.0	-0.15	7	0.15	63.083333333333336	0.05660377358490566
0.0	-0.15	8	0	40.85245901639344	0.8632075471698113
0.0	-0.15	8	0.01	41.64367816091954	0.8207547169811321
0.0	-0.15	8	0.02	56.122699386503065	0.7688679245283019
0.0	-0.15	8	0.03	64.14285714285714	0.42924528301886794
0.0	-0.15	8	0.04	67.98076923076923	0.24528301886792453
0.0	-0.15	8	0.05	68.325	0.18867924528301888
0.0	-0.15	8	0.06	66.75	0.1320754716981132
0.0	-0.15	8	0.07	71.41666666666667	0.11320754716981132
0.0	-0.15	8	0.08	69.16666666666667	0.11320754716981132
0.0	-0.15	8	0.09	67.94736842105263	0.08962264150943396
0.0	-0.15	8	0.1	65.92307692307692	0.06132075471698113
0.0	-0.15	8	0.11	59.53333333333333	0.07075471698113207
0.0	-0.15	8	0.12	72.35714285714286	0.0660377358490566
0.0	-0.15	8	0.13	65.46153846153847	0.06132075471698113
0.0	-0.15	8	0.14	53.53846153846154	0.06132075471698113
0.0	-0.15	8	0.15	61.27272727272727	0.05188679245283019
0.0	-0.15	9	0	40.85245901639344	0.8632075471698113
0.0	-0.15	9	0.01	41.84971098265896	0.8160377358490566
0.0	-0.15	9	0.02	56.16265060240964	0.7830188679245284
0.0	-0.15	9	0.03	65.94565217391305	0.4339622641509434
0.0	-0.15	9	0.04	70.82456140350877	0.2688679245283019
0.0	-0.15	9	0.05	72.55813953488372	0.2028301886792453
