Participant_Index	Noise_LOC	Reaction_Time	Accuracy
0	0	36.053763440860216	0.8773584905660378
0	0.01	32.592592592592595	0.12735849056603774
0	0.02	46.6	0.02358490566037736
0	0.03	44.4	0.02358490566037736
0	0.04	39.0	0.02830188679245283
0	0.05	66.0	0.02358490566037736
0	0.06	63.666666666666664	0.02830188679245283
0	0.07	50.0	0.009433962264150943
0	0.08	40.0	0.014150943396226415
0	0.09	15.0	0.0047169811320754715
0	0.1	29.0	0.0047169811320754715
0	0.11	15.666666666666666	0.014150943396226415
0	0.12	21.0	0.0047169811320754715
0	0.13	24.0	0.0047169811320754715
0	0.14	22.0	0.0047169811320754715
0	0.15	21.0	0.0047169811320754715
1	0	36.053763440860216	0.8773584905660378
1	0.01	34.42857142857143	0.09905660377358491
1	0.02	36.0	0.02358490566037736
1	0.03	48.4	0.02358490566037736
1	0.04	37.5	0.02830188679245283
1	0.05	57.0	0.018867924528301886
1	0.06	64.66666666666667	0.014150943396226415
1	0.07	47.5	0.009433962264150943
1	0.08	14.5	0.009433962264150943
1	0.09	25.0	0.0047169811320754715
1	0.1	30.0	0.0047169811320754715
1	0.11	26.0	0.0047169811320754715
1	0.12	16.0	0.0047169811320754715
1	0.13	14.0	0.0047169811320754715
1	0.14	23.0	0.0047169811320754715
1	0.15	14.0	0.0047169811320754715
2	0	36.053763440860216	0.8773584905660378
2	0.01	36.22727272727273	0.10377358490566038
2	0.02	38.4	0.02358490566037736
2	0.03	37.4	0.02358490566037736
2	0.04	54.8	0.02358490566037736
2	0.05	42.2	0.02358490566037736
2	0.06	59.0	0.014150943396226415
2	0.07	18.5	0.009433962264150943
2	0.08	15.0	0.0047169811320754715
2	0.09	20.0	0.009433962264150943
2	0.1	15.0	0.009433962264150943
2	0.11	17.0	0.0047169811320754715
2	0.12	14.0	0.0047169811320754715
2	0.13	14.0	0.0047169811320754715
2	0.14	15.5	0.009433962264150943
2	0.15	22.0	0.0047169811320754715
3	0	36.053763440860216	0.8773584905660378
3	0.01	34.083333333333336	0.11320754716981132
3	0.02	31.8	0.02358490566037736
3	0.03	39.2	0.02358490566037736
3	0.04	56.2	0.02358490566037736
3	0.05	49.4	0.02358490566037736
3	0.06	42.25	0.018867924528301886
3	0.07	38.666666666666664	0.014150943396226415
3	0.08	17.0	0.0047169811320754715
3	0.09	20.0	0.0047169811320754715
3	0.1	14.0	0.0047169811320754715
3	0.11	17.333333333333332	0.014150943396226415
3	0.12	17.0	0.0047169811320754715
3	0.13	21.0	0.0047169811320754715
3	0.14	13.0	0.0047169811320754715
3	0.15	13.0	0.0047169811320754715
4	0	36.053763440860216	0.8773584905660378
4	0.01	34.541666666666664	0.11320754716981132
