NPhone_Decay	WtoW_Weight	Participant_Index	Noise_LOC	Reaction_Time	Accuracy
0.15	0.0	0	0	38.08612440191388	0.9858490566037735
0.15	0.0	0	0.01	40.96938775510204	0.9245283018867925
0.15	0.0	0	0.02	48.68639053254438	0.7971698113207547
0.15	0.0	0	0.03	53.267857142857146	0.5283018867924528
0.15	0.0	0	0.04	56.98850574712644	0.41037735849056606
0.15	0.0	0	0.05	58.340425531914896	0.22169811320754718
0.15	0.0	0	0.06	58.625	0.1509433962264151
0.15	0.0	0	0.07	58.68	0.1179245283018868
0.15	0.0	0	0.08	59.388888888888886	0.08490566037735849
0.15	0.0	0	0.09	58.8125	0.07547169811320754
0.15	0.0	0	0.1	63.84615384615385	0.06132075471698113
0.15	0.0	0	0.11	62.666666666666664	0.04245283018867924
0.15	0.0	0	0.12	56.6	0.02358490566037736
0.15	0.0	0	0.13	34.333333333333336	0.014150943396226415
0.15	0.0	0	0.14	38.0	0.014150943396226415
0.15	0.0	0	0.15	32.0	0.009433962264150943
0.15	0.0	1	0	38.08612440191388	0.9858490566037735
0.15	0.0	1	0.01	40.6530612244898	0.9245283018867925
0.15	0.0	1	0.02	48.76923076923077	0.7971698113207547
0.15	0.0	1	0.03	54.426086956521736	0.5424528301886793
0.15	0.0	1	0.04	57.11363636363637	0.41509433962264153
0.15	0.0	1	0.05	59.19565217391305	0.2169811320754717
0.15	0.0	1	0.06	57.03225806451613	0.14622641509433962
0.15	0.0	1	0.07	58.2	0.1179245283018868
0.15	0.0	1	0.08	57.0	0.08490566037735849
0.15	0.0	1	0.09	58.5625	0.07547169811320754
0.15	0.0	1	0.1	64.14285714285714	0.0660377358490566
0.15	0.0	1	0.11	61.22222222222222	0.04245283018867924
0.15	0.0	1	0.12	55.2	0.02358490566037736
0.15	0.0	1	0.13	53.75	0.018867924528301886
0.15	0.0	1	0.14	35.666666666666664	0.014150943396226415
0.15	0.0	1	0.15	18.5	0.009433962264150943
0.15	0.0	2	0	38.08612440191388	0.9858490566037735
0.15	0.0	2	0.01	40.9030612244898	0.9245283018867925
0.15	0.0	2	0.02	49.053254437869825	0.7971698113207547
0.15	0.0	2	0.03	52.663636363636364	0.5188679245283019
0.15	0.0	2	0.04	57.48837209302326	0.4056603773584906
0.15	0.0	2	0.05	59.65217391304348	0.2169811320754717
0.15	0.0	2	0.06	58.1764705882353	0.16037735849056603
0.15	0.0	2	0.07	57.0	0.11320754716981132
0.15	0.0	2	0.08	56.833333333333336	0.08490566037735849
0.15	0.0	2	0.09	57.25	0.07547169811320754
0.15	0.0	2	0.1	62.642857142857146	0.0660377358490566
0.15	0.0	2	0.11	48.57142857142857	0.0330188679245283
0.15	0.0	2	0.12	68.0	0.02830188679245283
0.15	0.0	2	0.13	44.333333333333336	0.014150943396226415
0.15	0.0	2	0.14	38.666666666666664	0.014150943396226415
0.15	0.0	2	0.15	25.5	0.009433962264150943
0.15	0.0	3	0	38.08612440191388	0.9858490566037735
0.15	0.0	3	0.01	41.12755102040816	0.9245283018867925
0.15	0.0	3	0.02	48.28313253012048	0.7830188679245284
0.15	0.0	3	0.03	53.67256637168141	0.5330188679245284
0.15	0.0	3	0.04	57.2906976744186	0.4056603773584906
0.15	0.0	3	0.05	57.43181818181818	0.20754716981132076
0.15	0.0	3	0.06	60.81818181818182	0.15566037735849056
