Participant_Index	Noise_LOC	Reaction_Time	Accuracy
0	0	38.17224880382775	0.9858490566037735
0	0.01	41.36923076923077	0.9198113207547169
0	0.02	49.627450980392155	0.7216981132075472
0	0.03	53.82828282828283	0.4669811320754717
0	0.04	60.492063492063494	0.2971698113207547
0	0.05	58.38235294117647	0.16037735849056603
0	0.06	58.5	0.12264150943396226
0	0.07	55.55555555555556	0.08490566037735849
0	0.08	62.1875	0.07547169811320754
0	0.09	64.45454545454545	0.05188679245283019
0	0.1	56.2	0.02358490566037736
0	0.11	39.0	0.014150943396226415
0	0.12	13.0	0.009433962264150943
0	0.13	27.5	0.009433962264150943
0	0.14	27.5	0.009433962264150943
0	0.15	20.0	0.009433962264150943
1	0	38.17224880382775	0.9858490566037735
1	0.01	41.24742268041237	0.9150943396226415
1	0.02	50.2	0.7311320754716981
1	0.03	53.5	0.46226415094339623
1	0.04	59.5625	0.3018867924528302
1	0.05	56.42424242424242	0.15566037735849056
1	0.06	60.30769230769231	0.12264150943396226
1	0.07	58.11764705882353	0.08018867924528301
1	0.08	62.86666666666667	0.07075471698113207
1	0.09	62.09090909090909	0.05188679245283019
1	0.1	49.6	0.02358490566037736
1	0.11	32.666666666666664	0.014150943396226415
1	0.12	25.5	0.009433962264150943
1	0.13	26.0	0.009433962264150943
1	0.14	35.0	0.009433962264150943
1	0.15	19.0	0.009433962264150943
2	0	38.17224880382775	0.9858490566037735
2	0.01	41.3041237113402	0.9150943396226415
2	0.02	50.13636363636363	0.7264150943396226
2	0.03	53.676767676767675	0.4669811320754717
2	0.04	59.45161290322581	0.29245283018867924
2	0.05	55.0	0.15566037735849056
2	0.06	60.38461538461539	0.12264150943396226
2	0.07	56.1764705882353	0.08018867924528301
2	0.08	63.733333333333334	0.07075471698113207
2	0.09	64.8	0.04716981132075472
2	0.1	47.8	0.02358490566037736
2	0.11	14.5	0.009433962264150943
2	0.12	18.0	0.009433962264150943
2	0.13	33.5	0.009433962264150943
2	0.14	34.0	0.009433962264150943
2	0.15	12.0	0.009433962264150943
3	0	38.17224880382775	0.9858490566037735
3	0.01	41.31443298969072	0.9150943396226415
3	0.02	49.73548387096774	0.7311320754716981
3	0.03	54.02	0.4716981132075472
3	0.04	60.75806451612903	0.29245283018867924
3	0.05	55.515151515151516	0.15566037735849056
3	0.06	55.75	0.11320754716981132
3	0.07	55.588235294117645	0.08018867924528301
3	0.08	61.375	0.07547169811320754
3	0.09	60.4	0.04716981132075472
3	0.1	50.75	0.018867924528301886
3	0.11	48.0	0.014150943396226415
3	0.12	17.0	0.009433962264150943
3	0.13	44.5	0.009433962264150943
3	0.14	15.0	0.009433962264150943
3	0.15	12.5	0.009433962264150943
4	0	38.17224880382775	0.9858490566037735
4	0.01	41.31443298969072	0.9150943396226415
