Participant_Index	Noise_LOC	Reaction_Time	Accuracy
0	0	36.422330097087375	0.9716981132075472
0	0.01	39.62162162162162	0.3490566037735849
0	0.02	34.0	0.0047169811320754715
0	0.03	20.0	0.0047169811320754715
0	0.04	23.0	0.0047169811320754715
0	0.05	32.0	0.0047169811320754715
0	0.06	16.0	0.0047169811320754715
0	0.07	17.0	0.0047169811320754715
0	0.08	21.0	0.0047169811320754715
0	0.09	23.0	0.0047169811320754715
0	0.1	15.0	0.0047169811320754715
0	0.11	19.0	0.0047169811320754715
0	0.12	21.0	0.0047169811320754715
0	0.13	19.0	0.0047169811320754715
0	0.14	19.0	0.0047169811320754715
0	0.15	14.0	0.0047169811320754715
1	0	36.422330097087375	0.9716981132075472
1	0.01	39.529411764705884	0.32075471698113206
1	0.02	26.0	0.0047169811320754715
1	0.03	29.0	0.0047169811320754715
1	0.04	23.0	0.0047169811320754715
1	0.05	18.0	0.0047169811320754715
1	0.06	22.0	0.0047169811320754715
1	0.07	19.0	0.0047169811320754715
1	0.08	28.0	0.0047169811320754715
1	0.09	21.0	0.0047169811320754715
1	0.1	17.0	0.0047169811320754715
1	0.11	18.0	0.0047169811320754715
1	0.12	20.0	0.0047169811320754715
1	0.13	17.0	0.0047169811320754715
1	0.14	20.0	0.0047169811320754715
1	0.15	16.0	0.0047169811320754715
2	0	36.422330097087375	0.9716981132075472
2	0.01	39.901408450704224	0.33490566037735847
2	0.02	29.0	0.0047169811320754715
2	0.03	34.0	0.0047169811320754715
2	0.04	22.0	0.0047169811320754715
2	0.05	29.0	0.0047169811320754715
2	0.06	28.0	0.0047169811320754715
2	0.07	20.0	0.0047169811320754715
2	0.08	25.0	0.0047169811320754715
2	0.09	25.0	0.0047169811320754715
2	0.1	26.0	0.0047169811320754715
2	0.11	20.0	0.0047169811320754715
2	0.12	17.0	0.0047169811320754715
2	0.13	18.0	0.0047169811320754715
2	0.14	21.0	0.0047169811320754715
2	0.15	20.0	0.0047169811320754715
3	0	36.422330097087375	0.9716981132075472
3	0.01	39.41095890410959	0.3443396226415094
3	0.02	22.0	0.0047169811320754715
3	0.03	25.0	0.0047169811320754715
3	0.04	15.0	0.0047169811320754715
3	0.05	23.0	0.0047169811320754715
3	0.06	24.0	0.0047169811320754715
3	0.07	23.0	0.0047169811320754715
3	0.08	21.0	0.0047169811320754715
3	0.09	15.0	0.0047169811320754715
3	0.1	26.0	0.0047169811320754715
3	0.11	23.0	0.0047169811320754715
3	0.12	24.0	0.0047169811320754715
3	0.13	18.0	0.0047169811320754715
3	0.14	25.0	0.0047169811320754715
3	0.15	21.0	0.0047169811320754715
4	0	36.422330097087375	0.9716981132075472
4	0.01	39.611111111111114	0.33962264150943394
4	0.02	29.0	0.0047169811320754715
4	0.03	27.0	0.0047169811320754715
4	0.04	24.0	0.0047169811320754715
4	0.05	31.0	0.0047169811320754715
4	0.06	24.0	0.0047169811320754715
4	0.07	21.0	0.0047169811320754715
4	0.08	21.0	0.0047169811320754715
4	0.09	18.0	0.0047169811320754715
4	0.1	21.0	0.0047169811320754715
4	0.11	16.0	0.0047169811320754715
4	0.12	18.0	0.0047169811320754715
4	0.13	20.0	0.0047169811320754715
4	0.14	20.0	0.0047169811320754715
4	0.15	17.0	0.0047169811320754715
5	0	36.422330097087375	0.9716981132075472
5	0.01	39.68421052631579	0.3584905660377358
5	0.02	29.0	0.0047169811320754715
5	0.03	27.0	0.0047169811320754715
5	0.04	27.0	0.0047169811320754715
5	0.05	32.0	0.0047169811320754715
5	0.06	25.0	0.0047169811320754715
5	0.07	20.0	0.0047169811320754715
5	0.08	21.0	0.0047169811320754715
5	0.09	16.0	0.0047169811320754715
5	0.1	20.0	0.0047169811320754715
5	0.11	22.0	0.0047169811320754715
5	0.12	15.0	0.0047169811320754715
5	0.13	20.0	0.0047169811320754715
5	0.14	20.0	0.0047169811320754715
5	0.15	16.0	0.0047169811320754715
6	0	36.422330097087375	0.9716981132075472
6	0.01	39.44444444444444	0.33962264150943394
6	0.02	33.0	0.0047169811320754715
6	0.03	20.0	0.0047169811320754715
6	0.04	30.0	0.0047169811320754715
6	0.05	30.0	0.0047169811320754715
6	0.06	24.0	0.0047169811320754715
6	0.07	21.0	0.0047169811320754715
6	0.08	19.0	0.0047169811320754715
6	0.09	20.0	0.0047169811320754715
6	0.1	19.0	0.0047169811320754715
6	0.11	15.0	0.0047169811320754715
6	0.12	21.0	0.0047169811320754715
