Location	Noise	Cycle	Activation
0	Intact	0	0.0
0	Intact	1	0.1
0	Intact	2	0.18
0	Intact	3	0.2490184
0	Intact	4	0.3052782
0	Intact	5	0.3523763
0	Intact	6	0.39119485
0	Intact	7	0.42318833
0	Intact	8	0.44946903
0	Intact	9	0.4710079
0	Intact	10	0.48861563
0	Intact	11	0.50298584
0	Intact	12	0.5146971
0	Intact	13	0.5255214
0	Intact	14	0.5352921
0	Intact	15	0.54393524
0	Intact	16	0.5515118
0	Intact	17	0.55811787
0	Intact	18	0.56385374
0	Intact	19	0.5688267
0	Intact	20	0.5731343
0	Intact	21	0.57687163
0	Intact	22	0.58011365
0	Intact	23	0.5832593
0	Intact	24	0.58639646
0	Intact	25	0.5894959
0	Intact	26	0.5924871
0	Intact	27	0.5953087
0	Intact	28	0.5979099
0	Intact	29	0.6002579
0	Intact	30	0.60233265
0	Intact	31	0.60413027
0	Intact	32	0.6056752
0	Intact	33	0.6070132
0	Intact	34	0.608145
0	Intact	35	0.60907394
0	Intact	36	0.6098019
0	Intact	37	0.61034286
0	Intact	38	0.6107188
0	Intact	39	0.6109539
0	Intact	40	0.61107033
0	Intact	41	0.61108863
0	Intact	42	0.6110321
0	Intact	43	0.61093146
0	Intact	44	0.6108064
0	Intact	45	0.6106736
0	Intact	46	0.6105466
0	Intact	47	0.61043465
0	Intact	48	0.61034024
0	Intact	49	0.6102545
0	Intact	50	0.61016387
0	Intact	51	0.61006063
0	Intact	52	0.6099413
0	Intact	53	0.6098294
0	Intact	54	0.6097377
0	Intact	55	0.6096578
0	Intact	56	0.6095766
0	Intact	57	0.6094863
0	Intact	58	0.6093836
0	Intact	59	0.60925776
0	Intact	60	0.60909903
0	Intact	61	0.6089
0	Intact	62	0.60866463
0	Intact	63	0.60861516
0	Intact	64	0.6088514
0	Intact	65	0.609378
0	Intact	66	0.6101224
0	Intact	67	0.61104006
0	Intact	68	0.61207765
0	Intact	69	0.6131848
0	Intact	70	0.614318
0	Intact	71	0.6154421
0	Intact	72	0.6165283
0	Intact	73	0.6175583
0	Intact	74	0.61851937
0	Intact	75	0.6194042
0	Intact	76	0.62020993
0	Intact	77	0.620931
0	Intact	78	0.6215639
0	Intact	79	0.62210906
0	Intact	80	0.62256944
0	Intact	81	0.62294996
0	Intact	82	0.6232563
0	Intact	83	0.62349504
0	Intact	84	0.6236726
0	Intact	85	0.62379545
0	Intact	86	0.6238699
0	Intact	87	0.6239017
0	Intact	88	0.6238965
0	Intact	89	0.6238591
0	Intact	90	0.6237943
0	Intact	91	0.62370616
0	Intact	92	0.623597
0	Intact	93	0.62346935
0	Intact	94	0.62332535
0	Intact	95	0.6231672
0	Intact	96	0.62299716
0	Intact	97	0.6228171
0	Intact	98	0.6226288
0	Intact	99	0.6224333
0	0.0	0	0.0
0	0.0	1	0.0
0	0.0	2	0.0
0	0.0	3	0.0
0	0.0	4	0.0
0	0.0	5	0.0
0	0.0	6	0.0
0	0.0	7	0.0
0	0.0	8	0.0
0	0.0	9	0.0
0	0.0	10	0.0
0	0.0	11	0.0
0	0.0	12	0.0
0	0.0	13	0.00066000014
0	0.0	14	0.0008537574
0	0.0	15	0.00076827366
0	0.0	16	0.00069092016
0	0.0	17	0.0006209238
0	0.0	18	0.0005576094
0	0.0	19	0.00050037506
0	0.0	20	0.0004486796
0	0.0	21	0.0004020344
0	0.0	22	0.0003599903
0	0.0	23	0.00032204218
0	0.0	24	0.00028778505
0	0.0	25	0.0002569102
0	0.0	26	0.00022913316
0	0.0	27	0.00020417974
0	0.0	28	0.00018179252
0	0.0	29	0.00016173602
0	0.0	30	0.00014379816
0	0.0	31	0.00012778044
0	0.0	32	0.00011349673
0	0.0	33	0.000100746925
0	0.0	34	8.936474e-05
0	0.0	35	7.92024e-05
0	0.0	36	7.0130685e-05
0	0.0	37	6.203758e-05
0	0.0	38	5.482437e-05
0	0.0	39	4.8402486e-05
0	0.0	40	4.2691652e-05
0	0.0	41	3.761936e-05
0	0.0	42	3.311975e-05
0	0.0	43	2.9135135e-05
0	0.0	44	2.5610521e-05
0	0.0	45	2.249769e-05
0	0.0	46	1.975266e-05
0	0.0	47	1.7335207e-05
0	0.0	48	1.52086495e-05
0	0.0	49	1.3339668e-05
0	0.0	50	1.1698181e-05
0	0.0	51	1.0257295e-05
0	0.0	52	8.993065e-06
0	0.0	53	7.885863e-06
0	0.0	54	6.917041e-06
0	0.0	55	6.0692596e-06
0	0.0	56	5.3269982e-06
0	0.0	57	4.677068e-06
0	0.0	58	4.107926e-06
0	0.0	59	3.6095685e-06
0	0.0	60	3.173257e-06
0	0.0	61	2.7913102e-06
0	0.0	62	2.4569615e-06
0	0.0	63	2.1646986e-06
0	0.0	64	1.909234e-06
0	0.0	65	1.6854195e-06
0	0.0	66	1.4889453e-06
0	0.0	67	1.3161847e-06
0	0.0	68	1.1640163e-06
0	0.0	69	1.0298186e-06
0	0.0	70	9.1134837e-07
0	0.0	71	8.067272e-07
0	0.0	72	7.1432385e-07
0	0.0	73	6.326957e-07
0	0.0	74	5.6057075e-07
0	0.0	75	4.9683007e-07
0	0.0	76	4.4048758e-07
0	0.0	77	3.9067336e-07
0	0.0	78	3.466198e-07
0	0.0	79	3.076488e-07
0	0.0	80	2.731617e-07
0	0.0	81	2.426313e-07
0	0.0	82	2.1559342e-07
0	0.0	83	1.9163912e-07
0	0.0	84	1.7040823e-07
0	0.0	85	1.5158346e-07
0	0.0	86	1.348853e-07
0	0.0	87	1.2006738e-07
0	0.0	88	1.0691257e-07
0	0.0	89	9.5229446e-08
0	0.0	90	8.484917e-08
0	0.0	91	7.562281e-08
0	0.0	92	6.741889e-08
0	0.0	93	6.012135e-08
0	0.0	94	5.362767e-08
0	0.0	95	4.7847237e-08
0	0.0	96	4.2699945e-08
0	0.0	97	3.8114912e-08
0	0.0	98	3.4029274e-08
0	0.0	99	3.0387444e-08
0	0.1	0	0.0
0	0.1	1	0.0
0	0.1	2	0.0
0	0.1	3	0.0
0	0.1	4	0.0
0	0.1	5	0.0
0	0.1	6	0.0
0	0.1	7	0.0
0	0.1	8	0.0
0	0.1	9	0.0
0	0.1	10	0.0
0	0.1	11	0.0
0	0.1	12	0.0
0	0.1	13	0.0028644053
0	0.1	14	0.0056512496
0	0.1	15	0.008611057
0	0.1	16	0.011764354
0	0.1	17	0.014974147
0	0.1	18	0.01818384
0	0.1	19	0.021386188
0	0.1	20	0.024576494
0	0.1	21	0.027723758
0	0.1	22	0.030800393
0	0.1	23	0.03389021
0	0.1	24	0.036825117
0	0.1	25	0.03958302
0	0.1	26	0.04211118
0	0.1	27	0.044298053
0	0.1	28	0.046010308
0	0.1	29	0.047127593
0	0.1	30	0.04756938
0	0.1	31	0.04730385
0	0.1	32	0.04634078
0	0.1	33	0.044761263
0	0.1	34	0.042614207
0	0.1	35	0.03990262
0	0.1	36	0.036668986
0	0.1	37	0.03299977
0	0.1	38	0.029668842
0	0.1	39	0.026646692
0	0.1	40	0.023907045
0	0.1	41	0.021426093
0	0.1	42	0.01918205
0	0.1	43	0.017156327
0	0.1	44	0.015330459
0	0.1	45	0.013686889
0	0.1	46	0.012209376
0	0.1	47	0.010882886
0	0.1	48	0.009693655
0	0.1	49	0.008628864
0	0.1	50	0.0076766233
0	0.1	51	0.0068259416
0	0.1	52	0.0060666995
0	0.1	53	0.0053888788
0	0.1	54	0.0047840956
0	0.1	55	0.00424468
0	0.1	56	0.0037636703
0	0.1	57	0.0033350345
0	0.1	58	0.0029534572
0	0.1	59	0.0026141535
0	0.1	60	0.002312768
0	0.1	61	0.002045314
0	0.1	62	0.001808174
0	0.1	63	0.0015978421
0	0.1	64	0.0014113227
0	0.1	65	0.0012459543
0	0.1	66	0.0010994005
0	0.1	67	0.00096959464
0	0.1	68	0.0008547283
0	0.1	69	0.0007531904
0	0.1	70	0.00066352525
0	0.1	71	0.00058441056
0	0.1	72	0.0005146468
0	0.1	73	0.00045315822
0	0.1	74	0.00039898342
0	0.1	75	0.00035126667
0	0.1	76	0.00030924764
0	0.1	77	0.00027225367
0	0.1	78	0.00023969263
0	0.1	79	0.0002110391
0	0.1	80	0.0001858277
0	0.1	81	0.0001636467
0	0.1	82	0.00014413249
0	0.1	83	0.00012696431
0	0.1	84	0.00011185974
0	0.1	85	9.856995e-05
0	0.1	86	8.687582e-05
0	0.1	87	7.658453e-05
0	0.1	88	6.75265e-05
0	0.1	89	5.9552614e-05
0	0.1	90	5.2531555e-05
0	0.1	91	4.6347915e-05
0	0.1	92	4.0900486e-05
0	0.1	93	3.610047e-05
0	0.1	94	3.1869946e-05
0	0.1	95	2.8140494e-05
0	0.1	96	2.485202e-05
0	0.1	97	2.195169e-05
0	0.1	98	1.9393116e-05
0	0.1	99	1.7135539e-05
0	0.2	0	0.0
0	0.2	1	0.0
0	0.2	2	0.0
0	0.2	3	0.0
0	0.2	4	0.0
0	0.2	5	0.0
0	0.2	6	0.0
0	0.2	7	0.0
0	0.2	8	0.0
0	0.2	9	0.0
0	0.2	10	0.0
0	0.2	11	0.0
0	0.2	12	0.0
0	0.2	13	0.0028644053
0	0.2	14	0.0056512496
0	0.2	15	0.008611057
0	0.2	16	0.011764354
0	0.2	17	0.014974147
0	0.2	18	0.01818384
0	0.2	19	0.021386188
0	0.2	20	0.024576494
0	0.2	21	0.027723758
0	0.2	22	0.030800393
0	0.2	23	0.033800118
0	0.2	24	0.03651118
0	0.2	25	0.038939774
0	0.2	26	0.040983334
0	0.2	27	0.04249762
0	0.2	28	0.04341334
0	0.2	29	0.04371159
0	0.2	30	0.04341725
0	0.2	31	0.04257512
0	0.2	32	0.041200593
0	0.2	33	0.039326735
0	0.2	34	0.036990177
0	0.2	35	0.034182865
0	0.2	36	0.030912511
0	0.2	37	0.027801655
0	0.2	38	0.024982812
0	0.2	39	0.022432148
0	0.2	40	0.020126743
0	0.2	41	0.018045075
0	0.2	42	0.016167337
0	0.2	43	0.014476325
0	0.2	44	0.012955507
0	0.2	45	0.011589106
0	0.2	46	0.010362588
0	0.2	47	0.009262724
0	0.2	48	0.008277261
0	0.2	49	0.0073949588
0	0.2	50	0.006605539
0	0.2	51	0.005899548
0	0.2	52	0.005268458
0	0.2	53	0.004704495
0	0.2	54	0.0042005638
0	0.2	55	0.003750367
0	0.2	56	0.0033482963
0	0.2	57	0.0029892644
0	0.2	58	0.0026688331
0	0.2	59	0.0023830337
0	0.2	60	0.0021282707
0	0.2	61	0.0019012508
0	0.2	62	0.0016989848
0	0.2	63	0.0015185439
0	0.2	64	0.0013574669
0	0.2	65	0.0012135925
0	0.2	66	0.0010849976
0	0.2	67	0.00097001554
0	0.2	68	0.0008671914
0	0.2	69	0.0007752338
0	0.2	70	0.00069298496
0	0.2	71	0.0006194382
0	0.2	72	0.0005536912
0	0.2	73	0.0004949327
0	0.2	74	0.00044242828
0	0.2	75	0.0003955184
0	0.2	76	0.00035361067
0	0.2	77	0.00031617325
0	0.2	78	0.00028272806
0	0.2	79	0.0002528473
0	0.2	80	0.00022614849
0	0.2	81	0.00020229054
0	0.2	82	0.00018096888
0	0.2	83	0.00016191155
0	0.2	84	0.00014487578
0	0.2	85	0.00012964496
0	0.2	86	0.00011602553
0	0.2	87	0.00010384478
0	0.2	88	9.29489e-05
0	0.2	89	8.3200815e-05
0	0.2	90	7.4478325e-05
0	0.2	91	6.667249e-05
0	0.2	92	5.9686132e-05
0	0.2	93	5.3432548e-05
0	0.2	94	4.783434e-05
0	0.2	95	4.28224e-05
0	0.2	96	3.8335023e-05
0	0.2	97	3.4317065e-05
0	0.2	98	3.071925e-05
0	0.2	99	2.7497528e-05
0	0.3	0	0.0
0	0.3	1	0.0
0	0.3	2	0.0
0	0.3	3	0.0
0	0.3	4	0.0
0	0.3	5	0.0
0	0.3	6	0.0
0	0.3	7	0.1
0	0.3	8	0.18
0	0.3	9	0.23969501
0	0.3	10	0.28795314
0	0.3	11	0.32682493
0	0.3	12	0.35707906
0	0.3	13	0.38168702
0	0.3	14	0.40116102
0	0.3	15	0.41731676
0	0.3	16	0.43020543
0	0.3	17	0.4408977
0	0.3	18	0.44959503
0	0.3	19	0.45681998
0	0.3	20	0.46279216
0	0.3	21	0.4677809
0	0.3	22	0.47199205
0	0.3	23	0.47555444
0	0.3	24	0.47858754
0	0.3	25	0.48120943
0	0.3	26	0.4835187
0	0.3	27	0.48559326
0	0.3	28	0.48750556
0	0.3	29	0.4893052
0	0.3	30	0.49102455
0	0.3	31	0.49268696
0	0.3	32	0.49430594
0	0.3	33	0.49586862
0	0.3	34	0.49736258
0	0.3	35	0.49878147
0	0.3	36	0.5001198
0	0.3	37	0.5013893
0	0.3	38	0.5025961
0	0.3	39	0.5037375
0	0.3	40	0.50481373
0	0.3	41	0.50583166
0	0.3	42	0.5067941
0	0.3	43	0.50770855
0	0.3	44	0.50858253
0	0.3	45	0.50942093
0	0.3	46	0.51022714
0	0.3	47	0.51100945
0	0.3	48	0.51177216
0	0.3	49	0.51251847
0	0.3	50	0.5132534
0	0.3	51	0.5139864
0	0.3	52	0.5147227
0	0.3	53	0.51542574
0	0.3	54	0.5160794
0	0.3	55	0.51667696
0	0.3	56	0.51721454
0	0.3	57	0.51768976
0	0.3	58	0.51810086
0	0.3	59	0.5184455
0	0.3	60	0.5187245
0	0.3	61	0.51894075
0	0.3	62	0.51910424
0	0.3	63	0.5192558
0	0.3	64	0.51941824
0	0.3	65	0.51959765
0	0.3	66	0.5197954
0	0.3	67	0.5200104
0	0.3	68	0.5202384
0	0.3	69	0.52047604
0	0.3	70	0.5207149
0	0.3	71	0.52095616
0	0.3	72	0.52120674
0	0.3	73	0.47359723
0	0.3	74	0.43128544
0	0.3	75	0.3936667
0	0.3	76	0.36021915
0	0.3	77	0.33048093
0	0.3	78	0.3040539
0	0.3	79	0.2805809
0	0.3	80	0.25974178
0	0.3	81	0.2412495
0	0.3	82	0.22484683
0	0.3	83	0.21031123
0	0.3	84	0.19744103
0	0.3	85	0.18605593
0	0.3	86	0.17599475
0	0.3	87	0.16711323
0	0.3	88	0.15928224
0	0.3	89	0.15238616
0	0.3	90	0.14632145
0	0.3	91	0.14099532
0	0.3	92	0.13632472
0	0.3	93	0.13223523
0	0.3	94	0.12866022
0	0.3	95	0.12554008
0	0.3	96	0.12282148
0	0.3	97	0.120456755
0	0.3	98	0.11840331
0	0.3	99	0.11662315
0	0.4	0	0.0
0	0.4	1	0.0
0	0.4	2	0.0
0	0.4	3	0.0
0	0.4	4	0.0
0	0.4	5	0.1
0	0.4	6	0.18
0	0.4	7	0.23969501
0	0.4	8	0.28795314
0	0.4	9	0.32682493
0	0.4	10	0.35707906
0	0.4	11	0.38008064
0	0.4	12	0.39750218
0	0.4	13	0.41151553
0	0.4	14	0.42264295
0	0.4	15	0.4320525
0	0.4	16	0.43969312
0	0.4	17	0.4462291
0	0.4	18	0.45172027
0	0.4	19	0.4564449
0	0.4	20	0.4604982
0	0.4	21	0.46402714
0	0.4	22	0.46714443
0	0.4	23	0.4699131
