Location	Noise	Cycle	Activation
0	Intact	0	0.0
0	Intact	1	0.1
0	Intact	2	0.17500001
0	Intact	3	0.23125002
0	Intact	4	0.2734375
0	Intact	5	0.30507812
0	Intact	6	0.3288086
0	Intact	7	0.34660646
0	Intact	8	0.35995486
0	Intact	9	0.36996615
0	Intact	10	0.37747464
0	Intact	11	0.38310596
0	Intact	12	0.3873295
0	Intact	13	0.39049712
0	Intact	14	0.39287284
0	Intact	15	0.39465466
0	Intact	16	0.395991
0	Intact	17	0.39699325
0	Intact	18	0.39774495
0	Intact	19	0.3983087
0	Intact	20	0.39873153
0	Intact	21	0.39904866
0	Intact	22	0.3992865
0	Intact	23	0.3994649
0	Intact	24	0.3995987
0	Intact	25	0.399699
0	Intact	26	0.39977425
0	Intact	27	0.3998307
0	Intact	28	0.39987305
0	Intact	29	0.3999048
0	Intact	30	0.3999286
0	Intact	31	0.39994645
0	Intact	32	0.39995983
0	Intact	33	0.3999699
0	Intact	34	0.39997745
0	Intact	35	0.39998308
0	Intact	36	0.3999873
0	Intact	37	0.39999047
0	Intact	38	0.39999285
0	Intact	39	0.39999464
0	Intact	40	0.39999598
0	Intact	41	0.399997
0	Intact	42	0.39999777
0	Intact	43	0.39999834
0	Intact	44	0.39999875
0	Intact	45	0.39999908
0	Intact	46	0.39999932
0	Intact	47	0.3999995
0	Intact	48	0.39999962
0	Intact	49	0.3999997
0	Intact	50	0.3999998
0	Intact	51	0.39999983
0	Intact	52	0.39999986
0	Intact	53	0.3999999
0	Intact	54	0.39999992
0	Intact	55	0.39999995
0	Intact	56	0.39999998
0	Intact	57	0.4
0	Intact	58	0.4
0	Intact	59	0.4
0	Intact	60	0.4
0	Intact	61	0.4
0	Intact	62	0.4
0	Intact	63	0.4
0	Intact	64	0.4
0	Intact	65	0.4
0	Intact	66	0.4
0	Intact	67	0.4
0	Intact	68	0.4
0	Intact	69	0.4
0	Intact	70	0.4
0	Intact	71	0.4
0	Intact	72	0.4
0	Intact	73	0.4
0	Intact	74	0.4
0	Intact	75	0.4
0	Intact	76	0.4
0	Intact	77	0.4
0	Intact	78	0.4
0	Intact	79	0.4
0	Intact	80	0.4
0	Intact	81	0.4
0	Intact	82	0.4
0	Intact	83	0.4
0	Intact	84	0.4
0	Intact	85	0.4
0	Intact	86	0.4
0	Intact	87	0.4
0	Intact	88	0.4
0	Intact	89	0.4
0	Intact	90	0.4
0	Intact	91	0.4
0	Intact	92	0.4
0	Intact	93	0.4
0	Intact	94	0.4
0	Intact	95	0.4
0	Intact	96	0.4
0	Intact	97	0.4
0	Intact	98	0.4
0	Intact	99	0.4
0	0.0	0	0.0
0	0.0	1	0.0
0	0.0	2	0.0
0	0.0	3	0.0
0	0.0	4	0.0
0	0.0	5	0.0
0	0.0	6	0.0
0	0.0	7	0.0
0	0.0	8	0.0
0	0.0	9	0.0
0	0.0	10	0.0
0	0.0	11	0.0
0	0.0	12	0.0
0	0.0	13	0.0
0	0.0	14	0.0
0	0.0	15	0.0
0	0.0	16	0.0
0	0.0	17	0.0
0	0.0	18	0.0
0	0.0	19	0.0
0	0.0	20	0.0
0	0.0	21	0.0
0	0.0	22	0.0
0	0.0	23	0.0
0	0.0	24	0.0
0	0.0	25	0.0
0	0.0	26	0.0
0	0.0	27	0.0
0	0.0	28	0.0
0	0.0	29	0.0
0	0.0	30	0.0
0	0.0	31	0.0
0	0.0	32	0.0
0	0.0	33	0.0
0	0.0	34	0.0
0	0.0	35	0.0
0	0.0	36	0.0
0	0.0	37	0.0
0	0.0	38	0.0
0	0.0	39	0.0
0	0.0	40	0.0
0	0.0	41	0.0
0	0.0	42	0.0
0	0.0	43	0.0
0	0.0	44	0.0
0	0.0	45	0.0
0	0.0	46	0.0
0	0.0	47	0.0
0	0.0	48	0.0
0	0.0	49	0.0
0	0.0	50	0.0
0	0.0	51	0.0
0	0.0	52	0.0
0	0.0	53	0.0
0	0.0	54	0.0
0	0.0	55	0.0
0	0.0	56	0.0
0	0.0	57	0.0
0	0.0	58	0.0
0	0.0	59	0.0
0	0.0	60	0.0
0	0.0	61	0.0
0	0.0	62	0.0
0	0.0	63	0.0
0	0.0	64	0.0
0	0.0	65	0.0
0	0.0	66	0.0
0	0.0	67	0.0
0	0.0	68	0.0
0	0.0	69	0.0
0	0.0	70	0.0
0	0.0	71	0.0
0	0.0	72	0.0
0	0.0	73	0.0
0	0.0	74	0.0
0	0.0	75	0.0
0	0.0	76	0.0
0	0.0	77	0.0
0	0.0	78	0.0
0	0.0	79	0.0
0	0.0	80	0.0
0	0.0	81	0.0
0	0.0	82	0.0
0	0.0	83	0.0
0	0.0	84	0.0
0	0.0	85	0.0
0	0.0	86	0.0
0	0.0	87	0.0
0	0.0	88	0.0
0	0.0	89	0.0
0	0.0	90	0.0
0	0.0	91	0.0
0	0.0	92	0.0
0	0.0	93	0.0
0	0.0	94	0.0
0	0.0	95	0.0
0	0.0	96	0.0
0	0.0	97	0.0
0	0.0	98	0.0
0	0.0	99	0.0
0	0.1	0	0.0
0	0.1	1	0.0
0	0.1	2	0.0
0	0.1	3	0.0
0	0.1	4	0.0
0	0.1	5	0.0
0	0.1	6	0.0
0	0.1	7	0.0
0	0.1	8	0.0
0	0.1	9	0.0
0	0.1	10	0.0
0	0.1	11	0.0
0	0.1	12	0.0
0	0.1	13	0.0
0	0.1	14	0.0
0	0.1	15	0.0
0	0.1	16	0.0
0	0.1	17	0.0
0	0.1	18	0.0
0	0.1	19	0.0
0	0.1	20	0.0
0	0.1	21	0.0
0	0.1	22	0.0
0	0.1	23	0.0
0	0.1	24	0.0
0	0.1	25	0.0
0	0.1	26	0.0
0	0.1	27	0.0
0	0.1	28	0.0
0	0.1	29	0.0
0	0.1	30	0.0
0	0.1	31	0.0
0	0.1	32	0.0
0	0.1	33	0.0
0	0.1	34	0.0
0	0.1	35	0.0
0	0.1	36	0.0
0	0.1	37	0.0
0	0.1	38	0.0
0	0.1	39	0.0
0	0.1	40	0.0
0	0.1	41	0.0
0	0.1	42	0.0
0	0.1	43	0.0
0	0.1	44	0.0
0	0.1	45	0.0
0	0.1	46	0.0
0	0.1	47	0.0
0	0.1	48	0.0
0	0.1	49	0.0
0	0.1	50	0.0
0	0.1	51	0.0
0	0.1	52	0.0
0	0.1	53	0.0
0	0.1	54	0.0
0	0.1	55	0.0
0	0.1	56	0.0
0	0.1	57	0.0
0	0.1	58	0.0
0	0.1	59	0.0
0	0.1	60	0.0
0	0.1	61	0.0
0	0.1	62	0.0
0	0.1	63	0.0
0	0.1	64	0.0
0	0.1	65	0.0
0	0.1	66	0.0
0	0.1	67	0.0
0	0.1	68	0.0
0	0.1	69	0.0
0	0.1	70	0.0
0	0.1	71	0.0
0	0.1	72	0.0
0	0.1	73	0.0
0	0.1	74	0.0
0	0.1	75	0.0
0	0.1	76	0.0
0	0.1	77	0.0
0	0.1	78	0.0
0	0.1	79	0.0
0	0.1	80	0.0
0	0.1	81	0.0
0	0.1	82	0.0
0	0.1	83	0.0
0	0.1	84	0.0
0	0.1	85	0.0
0	0.1	86	0.0
0	0.1	87	0.0
0	0.1	88	0.0
0	0.1	89	0.0
0	0.1	90	0.0
0	0.1	91	0.0
0	0.1	92	0.0
0	0.1	93	0.0
0	0.1	94	0.0
0	0.1	95	0.0
0	0.1	96	0.0
0	0.1	97	0.0
0	0.1	98	0.0
0	0.1	99	0.0
0	0.2	0	0.0
0	0.2	1	0.0
0	0.2	2	0.0
0	0.2	3	0.0
0	0.2	4	0.0
0	0.2	5	0.0
0	0.2	6	0.0
0	0.2	7	0.0
0	0.2	8	0.0
0	0.2	9	0.0
0	0.2	10	0.0
0	0.2	11	0.0
0	0.2	12	0.0
0	0.2	13	0.0
0	0.2	14	0.0
0	0.2	15	0.0
0	0.2	16	0.0
0	0.2	17	0.0
0	0.2	18	0.0
0	0.2	19	0.0
0	0.2	20	0.0
0	0.2	21	0.0
0	0.2	22	0.0
0	0.2	23	0.0
0	0.2	24	0.0
0	0.2	25	0.0
0	0.2	26	0.0
0	0.2	27	0.0
0	0.2	28	0.0
0	0.2	29	0.0
0	0.2	30	0.0
0	0.2	31	0.0
0	0.2	32	0.0
0	0.2	33	0.0
0	0.2	34	0.0
0	0.2	35	0.0
0	0.2	36	0.0
0	0.2	37	0.0
0	0.2	38	0.0
0	0.2	39	0.0
0	0.2	40	0.0
0	0.2	41	0.0
0	0.2	42	0.0
0	0.2	43	0.0
0	0.2	44	0.0
0	0.2	45	0.0
0	0.2	46	0.0
0	0.2	47	0.0
0	0.2	48	0.0
0	0.2	49	0.0
0	0.2	50	0.0
0	0.2	51	0.0
0	0.2	52	0.0
0	0.2	53	0.0
0	0.2	54	0.0
0	0.2	55	0.0
0	0.2	56	0.0
0	0.2	57	0.0
0	0.2	58	0.0
0	0.2	59	0.0
0	0.2	60	0.0
0	0.2	61	0.0
0	0.2	62	0.0
0	0.2	63	0.0
0	0.2	64	0.0
0	0.2	65	0.0
0	0.2	66	0.0
0	0.2	67	0.0
0	0.2	68	0.0
0	0.2	69	0.0
0	0.2	70	0.0
0	0.2	71	0.0
0	0.2	72	0.0
0	0.2	73	0.0
0	0.2	74	0.0
0	0.2	75	0.0
0	0.2	76	0.0
0	0.2	77	0.0
0	0.2	78	0.0
0	0.2	79	0.0
0	0.2	80	0.0
0	0.2	81	0.0
0	0.2	82	0.0
0	0.2	83	0.0
0	0.2	84	0.0
0	0.2	85	0.0
0	0.2	86	0.0
0	0.2	87	0.0
0	0.2	88	0.0
0	0.2	89	0.0
0	0.2	90	0.0
0	0.2	91	0.0
0	0.2	92	0.0
0	0.2	93	0.0
0	0.2	94	0.0
0	0.2	95	0.0
0	0.2	96	0.0
0	0.2	97	0.0
0	0.2	98	0.0
0	0.2	99	0.0
0	0.3	0	0.0
0	0.3	1	0.0
0	0.3	2	0.0
0	0.3	3	0.0
0	0.3	4	0.0
0	0.3	5	0.0
0	0.3	6	0.0
0	0.3	7	0.1
0	0.3	8	0.17500001
0	0.3	9	0.23125002
0	0.3	10	0.2734375
0	0.3	11	0.30507812
0	0.3	12	0.3288086
0	0.3	13	0.34660646
0	0.3	14	0.35995486
0	0.3	15	0.36996615
0	0.3	16	0.37747464
0	0.3	17	0.38310596
0	0.3	18	0.3873295
0	0.3	19	0.39049712
0	0.3	20	0.39287284
0	0.3	21	0.39465466
0	0.3	22	0.395991
0	0.3	23	0.39699325
0	0.3	24	0.39774495
0	0.3	25	0.3983087
0	0.3	26	0.39873153
0	0.3	27	0.39904866
0	0.3	28	0.3992865
0	0.3	29	0.3994649
0	0.3	30	0.3995987
0	0.3	31	0.399699
0	0.3	32	0.39977425
0	0.3	33	0.3998307
0	0.3	34	0.39987305
0	0.3	35	0.3999048
0	0.3	36	0.3999286
0	0.3	37	0.39994645
0	0.3	38	0.39995983
0	0.3	39	0.3999699
0	0.3	40	0.39997745
0	0.3	41	0.39998308
0	0.3	42	0.3999873
0	0.3	43	0.39999047
0	0.3	44	0.39999285
0	0.3	45	0.39999464
0	0.3	46	0.39999598
0	0.3	47	0.399997
0	0.3	48	0.39999777
0	0.3	49	0.39999834
0	0.3	50	0.39999875
0	0.3	51	0.39999908
0	0.3	52	0.39999932
0	0.3	53	0.3999995
0	0.3	54	0.39999962
0	0.3	55	0.3999997
0	0.3	56	0.3999998
0	0.3	57	0.39999983
0	0.3	58	0.39999986
0	0.3	59	0.3999999
0	0.3	60	0.39999992
0	0.3	61	0.39999995
0	0.3	62	0.39999998
0	0.3	63	0.4
0	0.3	64	0.4
0	0.3	65	0.4
0	0.3	66	0.4
0	0.3	67	0.4
0	0.3	68	0.4
0	0.3	69	0.4
0	0.3	70	0.4
0	0.3	71	0.4
0	0.3	72	0.4
0	0.3	73	0.34
0	0.3	74	0.289
0	0.3	75	0.24565001
0	0.3	76	0.2088025
0	0.3	77	0.17748213
0	0.3	78	0.15085982
0	0.3	79	0.12823085
0	0.3	80	0.10899623
0	0.3	81	0.09264679
0	0.3	82	0.078749776
0	0.3	83	0.06693731
0	0.3	84	0.056896716
0	0.3	85	0.04836221
0	0.3	86	0.04110788
0	0.3	87	0.0349417
0	0.3	88	0.029700445
0	0.3	89	0.02524538
0	0.3	90	0.021458574
0	0.3	91	0.018239789
0	0.3	92	0.015503821
0	0.3	93	0.013178248
0	0.3	94	0.011201511
0	0.3	95	0.009521285
0	0.3	96	0.008093093
0	0.3	97	0.006879129
0	0.3	98	0.00584726
0	0.3	99	0.004970171
0	0.4	0	0.0
0	0.4	1	0.0
0	0.4	2	0.0
0	0.4	3	0.0
0	0.4	4	0.0
0	0.4	5	0.1
0	0.4	6	0.17500001
0	0.4	7	0.23125002
0	0.4	8	0.2734375
0	0.4	9	0.30507812
0	0.4	10	0.3288086
0	0.4	11	0.34660646
0	0.4	12	0.35995486
0	0.4	13	0.36996615
0	0.4	14	0.37747464
0	0.4	15	0.38310596
0	0.4	16	0.3873295
0	0.4	17	0.39049712
0	0.4	18	0.39287284
0	0.4	19	0.39465466
0	0.4	20	0.395991
0	0.4	21	0.39699325
0	0.4	22	0.39774495
0	0.4	23	0.3983087
0	0.4	24	0.39873153
0	0.4	25	0.39904866
0	0.4	26	0.3992865
0	0.4	27	0.3994649
0	0.4	28	0.3995987
0	0.4	29	0.399699
0	0.4	30	0.39977425
0	0.4	31	0.3998307
0	0.4	32	0.39987305
0	0.4	33	0.3999048
0	0.4	34	0.3999286
0	0.4	35	0.39994645
0	0.4	36	0.39995983
0	0.4	37	0.3999699
0	0.4	38	0.39997745
0	0.4	39	0.39998308
0	0.4	40	0.3999873
0	0.4	41	0.39999047
0	0.4	42	0.39999285
0	0.4	43	0.39999464
0	0.4	44	0.39999598
0	0.4	45	0.399997
0	0.4	46	0.39999777
0	0.4	47	0.39999834
0	0.4	48	0.39999875
0	0.4	49	0.39999908
0	0.4	50	0.39999932
0	0.4	51	0.3999995
0	0.4	52	0.39999962
0	0.4	53	0.3999997
0	0.4	54	0.3999998
0	0.4	55	0.39999983
0	0.4	56	0.39999986
0	0.4	57	0.3999999
0	0.4	58	0.39999992
0	0.4	59	0.39999995
0	0.4	60	0.39999998
0	0.4	61	0.4
0	0.4	62	0.4
0	0.4	63	0.4
0	0.4	64	0.4
0	0.4	65	0.4
0	0.4	66	0.4
0	0.4	67	0.4
0	0.4	68	0.4
0	0.4	69	0.4
0	0.4	70	0.4
0	0.4	71	0.4
0	0.4	72	0.4
0	0.4	73	0.4
0	0.4	74	0.4
0	0.4	75	0.4
0	0.4	76	0.4
0	0.4	77	0.4
0	0.4	78	0.4
0	0.4	79	0.4
0	0.4	80	0.4
0	0.4	81	0.4
0	0.4	82	0.4
0	0.4	83	0.4
0	0.4	84	0.4
0	0.4	85	0.4
0	0.4	86	0.4
0	0.4	87	0.4
0	0.4	88	0.4
0	0.4	89	0.4
0	0.4	90	0.4
0	0.4	91	0.4
0	0.4	92	0.4
0	0.4	93	0.4
0	0.4	94	0.4
0	0.4	95	0.4
0	0.4	96	0.34
0	0.4	97	0.289
