Cycle	/p/|pl^g	/b/|pl^g	/p/|bl^S	/b/|bl^S	/p/|#l^g	/b/|#l^g	/p/|#l^S	/b/|#l^S
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0
2	0.18	0.0	0.0	0.18	0.0	0.0	0.0	0.0
3	0.2485756	0.0	0.0	0.2467306	0.0	0.0	0.0	0.0
4	0.3046077	0.0	0.0	0.30225572	0.0	0.0	0.0	0.0
5	0.35133228	0.0	0.0	0.3483181	0.0	0.0	0.0	0.0
6	0.3898569	0.0	0.0	0.3864572	0.0	0.0	0.0	0.0
7	0.42159307	0.0	0.0	0.4179931	0.0	0.0	0.0	0.0
8	0.4476706	0.0	0.0	0.444009	0.0	0.0	0.0	0.0
9	0.4690515	0.0	0.0	0.46542358	0.0	0.0	0.0	0.0
10	0.48655933	0.0	0.0	0.48301598	0.1	0.1	0.1	0.1
11	0.5008791	0.0	0.0	0.49744773	0.18	0.18	0.18	0.18
12	0.5125829	0.0	0.0	0.50927114	0.2473702	0.24429521	0.2473702	0.24429521
13	0.5229736	0.0	0.0	0.5196695	0.30232856	0.2971779	0.30232856	0.2971779
14	0.5324841	0.0	0.0	0.52905595	0.27770644	0.27027455	0.27770644	0.27027455
15	0.5410483	0.0	0.0	0.53739834	0.25717646	0.24720341	0.25717646	0.24720341
16	0.5487286	0.0	0.0	0.54474336	0.23957467	0.22698176	0.23957467	0.22698176
17	0.55560654	0.0	0.0	0.5511832	0.22446066	0.20919746	0.22446066	0.20919746
18	0.56178105	0.0	0.0	0.5568286	0.2114648	0.19350258	0.2114648	0.19350258
19	0.5673226	0.0	0.0	0.5617938	0.20027596	0.17958036	0.20027596	0.17958036
20	0.5722903	0.0	0.0	0.566183	0.1906598	0.16716889	0.1906598	0.16716889
21	0.5767307	0.0	0.0	0.57007897	0.18242209	0.15604691	0.18242209	0.15604691
22	0.5806888	0.0	0.0	0.573548	0.1753872	0.14603436	0.1753872	0.14603436
23	0.58491135	0.0	0.0	0.57726085	0.1700237	0.13752484	0.1700237	0.13752484
24	0.5894775	0.0	0.0	0.5815006	0.16626686	0.13041018	0.16626686	0.13041018
25	0.59418696	0.0	0.0	0.58611226	0.16381967	0.12449066	0.16381967	0.12449066
26	0.59887195	0.0	0.0	0.59087515	0.16234633	0.1195906	0.16234633	0.1195906
27	0.6033848	0.0	0.0	0.595605	0.1613109	0.11536803	0.1613109	0.11536803
28	0.6076232	0.0	0.0	0.6001905	0.16043313	0.11173236	0.16043313	0.11173236
29	0.6115408	0.0	0.0	0.6045448	0.1595627	0.108571894	0.1595627	0.108571894
30	0.61511445	0.0	0.0	0.6086104	0.15863803	0.10580521	0.15863803	0.10580521
31	0.6183462	0.0	0.0	0.6123618	0.15763831	0.103352495	0.15763831	0.103352495
32	0.621248	0.0	0.0	0.6158005	0.15655358	0.101171546	0.15655358	0.101171546
33	0.6239393	0.0	0.0	0.6191132	0.15552846	0.09901566	0.15511239	0.099656746
34	0.62646943	0.0	0.0	0.62235713	0.15454097	0.09660815	0.1531225	0.09899582
35	0.62882745	0.0	0.0	0.62553525	0.15352215	0.09372931	0.15047131	0.099234544
36	0.63097763	0.0	0.0	0.6286259	0.15239748	0.09021757	0.147107	0.10036549
37	0.63288486	0.0	0.0	0.6315901	0.15111354	0.08598409	0.14299883	0.10235843
38	0.63453364	0.0	0.0	0.63439673	0.14969726	0.08098574	0.13815966	0.10515968
39	0.6359261	0.0	0.0	0.6370251	0.14819579	0.075222746	0.13264139	0.10868871
40	0.6370847	0.0	0.0	0.6394628	0.14665838	0.06872442	0.12650469	0.112862736
41	0.6380324	0.0	0.0	0.6417061	0.14513083	0.061828673	0.11980822	0.11760406
42	0.6387976	0.0	0.0	0.643761	0.14365305	0.055535693	0.112601906	0.122846186
43	0.6394049	0.0	0.0	0.6456381	0.14225198	0.049803745	0.104928	0.12853207
44	0.639876	0.0	0.0	0.6473478	0.14094214	0.044593148	0.09682621	0.13460746
45	0.6402285	0.0	0.0	0.64890045	0.1397265	0.03986626	0.08834005	0.14101703
46	0.6404773	0.0	0.0	0.65030694	0.13859344	0.035586484	0.079515465	0.14770576
47	0.6406361	0.0	0.0	0.651578	0.13752814	0.031718954	0.07146285	0.15462373
48	0.64071596	0.0	0.0	0.6527239	0.13651703	0.028230678	0.06413653	0.1617259
49	0.64072585	0.0	0.0	0.65375507	0.13554753	0.025090478	0.05748353	0.16897033
50	0.64067423	0.0	0.0	0.6546817	0.1346079	0.02226895	0.05145309	0.17631769
51	0.64056957	0.0	0.0	0.6555132	0.13368717	0.019738443	0.045996606	0.18372919
52	0.64041996	0.0	0.0	0.656258	0.13277884	0.017472984	0.041067977	0.19116978
53	0.64023244	0.0	0.0	0.6569239	0.13189563	0.01544808	0.03662346	0.19860485
54	0.640013	0.0	0.0	0.6575221	0.13104777	0.013641069	0.03262152	0.20599434
55	0.6397666	0.0	0.0	0.6580615	0.13024323	0.012031025	0.02902345	0.21330297
56	0.6394978	0.0	0.0	0.6585493	0.12948793	0.01059868	0.025793167	0.22050293
57	0.63921124	0.0	0.0	0.6589913	0.1287861	0.0093263285	0.022897221	0.22756994
58	0.6389116	0.0	0.0	0.65939236	0.12814043	0.008197747	0.020304658	0.23448329
59	0.63860244	0.0	0.0	0.6597568	0.12755239	0.007198109	0.017986882	0.24122596
60	0.6382867	0.0	0.0	0.6600882	0.12702242	0.006313898	0.015917417	0.24779107
61	0.63796675	0.0	0.0	0.6603898	0.12655011	0.0055328268	0.014071955	0.25417078
62	0.6376445	0.0	0.0	0.66066444	0.12613438	0.004843751	0.012428272	0.26035845
63	0.63732177	0.0	0.0	0.6609147	0.12577367	0.00423659	0.010966074	0.266349
64	0.6369997	0.0	0.0	0.6611429	0.12546596	0.0037022468	0.009666867	0.2721386
65	0.63667965	0.0	0.0	0.661351	0.12520896	0.0032325303	0.008513824	0.27772486
66	0.6363625	0.0	0.0	0.6615411	0.12500018	0.0028200822	0.0074916664	0.28310677
67	0.6360491	0.0	0.0	0.6617147	0.12483698	0.0024583077	0.0065865424	0.28828442
68	0.6357401	0.0	0.0	0.66187334	0.12471666	0.0021413062	0.0057859183	0.29325908
69	0.6354363	0.0	0.0	0.66201854	0.124636486	0.0018638109	0.005078476	0.29803297
70	0.635139	0.0	0.0	0.66215146	0.124593735	0.0016211288	0.00445401	0.3026091
71	0.6348491	0.0	0.0	0.6622733	0.12458574	0.0014090855	0.0039033368	0.30699128
72	0.6345671	0.0	0.0	0.66238505	0.12460987	0.0012239749	0.0034182048	0.31118396
73	0.6342933	0.0	0.0	0.6624876	0.124663636	0.0010625117	0.0029912135	0.31519198
74	0.6340279	0.0	0.0	0.6625819	0.12474461	0.0009217887	0.0026157354	0.31902063
75	0.6337708	0.0	0.0	0.6626686	0.12485049	0.00079923664	0.0022858463	0.32267556
76	0.63352203	0.0	0.0	0.6627484	0.1249791	0.00069258845	0.001996257	0.32616258
77	0.63328147	0.0	0.0	0.662822	0.12512836	0.0005998465	0.0017422538	0.3294877
78	0.6330489	0.0	0.0	0.6628899	0.12529632	0.0005192526	0.0015196404	0.332657
79	0.63282406	0.0	0.0	0.66295266	0.12548015	0.00044926265	0.0013246877	0.33567664
80	0.63260686	0.0	0.0	0.66301066	0.12567686	0.00038852077	0.0011540856	0.33855268
81	0.63239706	0.0	0.0	0.6630643	0.12588398	0.00033583745	0.0010048996	0.3412912
82	0.6321944	0.0	0.0	0.6631141	0.12609944	0.00029017052	0.0008745316	0.34389815
83	0.6319986	0.0	0.0	0.6631602	0.12632148	0.00025060773	0.000760684	0.3463794
84	0.6318095	0.0	0.0	0.66320306	0.12654862	0.00021635162	0.0006613276	0.34874067
85	0.6316267	0.0	0.0	0.66324294	0.1267796	0.00018670561	0.0005746719	0.3509875
86	0.6314502	0.0	0.0	0.66328	0.12701336	0.00016106186	0.00049913867	0.35312527
87	0.6312795	0.0	0.0	0.6633145	0.12724896	0.00013889052	0.00043333857	0.35515925
88	0.6311146	0.0	0.0	0.66334665	0.12748562	0.00011973001	0.00037604952	0.35709444
89	0.6309552	0.0	0.0	0.6633767	0.12772268	0.00010317862	0.00032619748	0.35893565
90	0.6308011	0.0	0.0	0.6634047	0.12795956	8.888698e-05	0.00028283967	0.36068758
91	0.63065195	0.0	0.0	0.6634308	0.12819576	7.655147e-05	0.000245149	0.36235458
92	0.63050765	0.0	0.0	0.66345537	0.12843089	6.5908396e-05	0.00021240066	0.36394095
93	0.630368	0.0	0.0	0.66347826	0.12866457	5.6728928e-05	0.00018395983	0.3654508
94	0.6302328	0.0	0.0	0.6634997	0.12889652	4.8814574e-05	0.00015927109	0.36688793
95	0.6301019	0.0	0.0	0.66351974	0.12912646	4.199328e-05	0.00013784878	0.3682561
96	0.629975	0.0	0.0	0.6635386	0.12935421	3.611599e-05	0.000119268545	0.36955878
97	0.62985206	0.0	0.0	0.6635563	0.12957956	3.105365e-05	0.00010315986	0.37079936
98	0.6297328	0.0	0.0	0.66357285	0.12980238	2.6694564e-05	8.919942e-05	0.37198102
99	0.6296171	0.0	0.0	0.6635884	0.13002257	2.2942126e-05	7.710531e-05	0.37310672
