Cycle	/p/|pl^g	/b/|pl^g	/p/|bl^S	/b/|bl^S	/p/|#l^g	/b/|#l^g	/p/|#l^S	/b/|#l^S
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0
2	0.17500001	0.0	0.0	0.17500001	0.0	0.0	0.0	0.0
3	0.23125002	0.0	0.0	0.23125002	0.0	0.0	0.0	0.0
4	0.2734375	0.0	0.0	0.2734375	0.0	0.0	0.0	0.0
5	0.30507812	0.0	0.0	0.30507812	0.0	0.0	0.0	0.0
6	0.3288086	0.0	0.0	0.3288086	0.0	0.0	0.0	0.0
7	0.34660646	0.0	0.0	0.34660646	0.0	0.0	0.0	0.0
8	0.35995486	0.0	0.0	0.35995486	0.0	0.0	0.0	0.0
9	0.36996615	0.0	0.0	0.36996615	0.0	0.0	0.0	0.0
10	0.37747464	0.0	0.0	0.37747464	0.1	0.1	0.1	0.1
11	0.38310596	0.0	0.0	0.38310596	0.17500001	0.17500001	0.17500001	0.17500001
12	0.3873295	0.0	0.0	0.3873295	0.23125002	0.23125002	0.23125002	0.23125002
13	0.39049712	0.0	0.0	0.39049712	0.2734375	0.2734375	0.2734375	0.2734375
14	0.39287284	0.0	0.0	0.39287284	0.23242188	0.23242188	0.23242188	0.23242188
15	0.39465466	0.0	0.0	0.39465466	0.1975586	0.1975586	0.1975586	0.1975586
16	0.395991	0.0	0.0	0.395991	0.1679248	0.1679248	0.1679248	0.1679248
17	0.39699325	0.0	0.0	0.39699325	0.14273609	0.14273609	0.14273609	0.14273609
18	0.39774495	0.0	0.0	0.39774495	0.12132568	0.12132568	0.12132568	0.12132568
19	0.3983087	0.0	0.0	0.3983087	0.10312683	0.10312683	0.10312683	0.10312683
20	0.39873153	0.0	0.0	0.39873153	0.08765781	0.08765781	0.08765781	0.08765781
21	0.39904866	0.0	0.0	0.39904866	0.07450914	0.07450914	0.07450914	0.07450914
22	0.3992865	0.0	0.0	0.3992865	0.06333277	0.06333277	0.06333277	0.06333277
23	0.3994649	0.0	0.0	0.3994649	0.05383285	0.05383285	0.05383285	0.05383285
24	0.3995987	0.0	0.0	0.3995987	0.045757923	0.045757923	0.045757923	0.045757923
25	0.399699	0.0	0.0	0.399699	0.038894236	0.038894236	0.038894236	0.038894236
26	0.39977425	0.0	0.0	0.39977425	0.0330601	0.0330601	0.0330601	0.0330601
27	0.3998307	0.0	0.0	0.3998307	0.028101087	0.028101087	0.028101087	0.028101087
28	0.39987305	0.0	0.0	0.39987305	0.023885924	0.023885924	0.023885924	0.023885924
29	0.3999048	0.0	0.0	0.3999048	0.020303037	0.020303037	0.020303037	0.020303037
30	0.3999286	0.0	0.0	0.3999286	0.017257582	0.017257582	0.017257582	0.017257582
31	0.39994645	0.0	0.0	0.39994645	0.014668945	0.014668945	0.014668945	0.014668945
32	0.39995983	0.0	0.0	0.39995983	0.012468603	0.012468603	0.012468603	0.012468603
33	0.3999699	0.0	0.0	0.3999699	0.010598313	0.010598313	0.010598313	0.010598313
34	0.39997745	0.0	0.0	0.39997745	0.009008566	0.009008566	0.009008566	0.009008566
35	0.39998308	0.0	0.0	0.39998308	0.007657281	0.007657281	0.007657281	0.007657281
36	0.3999873	0.0	0.0	0.3999873	0.006508689	0.006508689	0.006508689	0.006508689
37	0.39999047	0.0	0.0	0.39999047	0.005532386	0.005532386	0.005532386	0.005532386
38	0.39999285	0.0	0.0	0.39999285	0.004702528	0.004702528	0.004702528	0.004702528
39	0.39999464	0.0	0.0	0.39999464	0.003997149	0.003997149	0.003997149	0.003997149
40	0.39999598	0.0	0.0	0.39999598	0.0033975767	0.0033975767	0.0033975767	0.0033975767
41	0.399997	0.0	0.0	0.399997	0.0028879403	0.0028879403	0.0028879403	0.0028879403
42	0.39999777	0.0	0.0	0.39999777	0.0024547493	0.0024547493	0.0024547493	0.0024547493
43	0.39999834	0.0	0.0	0.39999834	0.002086537	0.002086537	0.002086537	0.002086537
44	0.39999875	0.0	0.0	0.39999875	0.0017735565	0.0017735565	0.0017735565	0.0017735565
45	0.39999908	0.0	0.0	0.39999908	0.001507523	0.001507523	0.001507523	0.001507523
46	0.39999932	0.0	0.0	0.39999932	0.0012813946	0.0012813946	0.0012813946	0.0012813946
47	0.3999995	0.0	0.0	0.3999995	0.0010891855	0.0010891855	0.0010891855	0.0010891855
48	0.39999962	0.0	0.0	0.39999962	0.0009258077	0.0009258077	0.0009258077	0.0009258077
49	0.3999997	0.0	0.0	0.3999997	0.00078693655	0.00078693655	0.00078693655	0.00078693655
50	0.3999998	0.0	0.0	0.3999998	0.0006688961	0.0006688961	0.0006688961	0.0006688961
51	0.39999983	0.0	0.0	0.39999983	0.00056856166	0.00056856166	0.00056856166	0.00056856166
52	0.39999986	0.0	0.0	0.39999986	0.00048327743	0.00048327743	0.00048327743	0.00048327743
53	0.3999999	0.0	0.0	0.3999999	0.0004107858	0.0004107858	0.0004107858	0.0004107858
54	0.39999992	0.0	0.0	0.39999992	0.00034916794	0.00034916794	0.00034916794	0.00034916794
55	0.39999995	0.0	0.0	0.39999995	0.00029679274	0.00029679274	0.00029679274	0.00029679274
56	0.39999998	0.0	0.0	0.39999998	0.00025227384	0.00025227384	0.00025227384	0.00025227384
57	0.4	0.0	0.0	0.4	0.00021443277	0.00021443277	0.00021443277	0.00021443277
58	0.4	0.0	0.0	0.4	0.00018226786	0.00018226786	0.00018226786	0.00018226786
59	0.4	0.0	0.0	0.4	0.00015492768	0.00015492768	0.00015492768	0.00015492768
60	0.4	0.0	0.0	0.4	0.00013168853	0.00013168853	0.00013168853	0.00013168853
61	0.4	0.0	0.0	0.4	0.00011193525	0.00011193525	0.00011193525	0.00011193525
62	0.4	0.0	0.0	0.4	9.514497e-05	9.514497e-05	9.514497e-05	9.514497e-05
63	0.4	0.0	0.0	0.4	8.087323e-05	8.087323e-05	8.087323e-05	8.087323e-05
64	0.4	0.0	0.0	0.4	6.874224e-05	6.874224e-05	6.874224e-05	6.874224e-05
65	0.4	0.0	0.0	0.4	5.843091e-05	5.843091e-05	5.843091e-05	5.843091e-05
66	0.4	0.0	0.0	0.4	4.9666272e-05	4.9666272e-05	4.9666272e-05	4.9666272e-05
67	0.4	0.0	0.0	0.4	4.2216332e-05	4.2216332e-05	4.2216332e-05	4.2216332e-05
68	0.4	0.0	0.0	0.4	3.5883884e-05	3.5883884e-05	3.5883884e-05	3.5883884e-05
69	0.4	0.0	0.0	0.4	3.0501302e-05	3.0501302e-05	3.0501302e-05	3.0501302e-05
70	0.4	0.0	0.0	0.4	2.5926107e-05	2.5926107e-05	2.5926107e-05	2.5926107e-05
71	0.4	0.0	0.0	0.4	2.2037191e-05	2.2037191e-05	2.2037191e-05	2.2037191e-05
72	0.4	0.0	0.0	0.4	1.8731613e-05	1.8731613e-05	1.8731613e-05	1.8731613e-05
73	0.4	0.0	0.0	0.4	1.592187e-05	1.592187e-05	1.592187e-05	1.592187e-05
74	0.4	0.0	0.0	0.4	1.353359e-05	1.353359e-05	1.353359e-05	1.353359e-05
75	0.4	0.0	0.0	0.4	1.1503552e-05	1.1503552e-05	1.1503552e-05	1.1503552e-05
76	0.4	0.0	0.0	0.4	9.778019e-06	9.778019e-06	9.778019e-06	9.778019e-06
77	0.4	0.0	0.0	0.4	8.311316e-06	8.311316e-06	8.311316e-06	8.311316e-06
78	0.4	0.0	0.0	0.4	7.0646192e-06	7.0646192e-06	7.0646192e-06	7.0646192e-06
79	0.4	0.0	0.0	0.4	6.0049265e-06	6.0049265e-06	6.0049265e-06	6.0049265e-06
80	0.4	0.0	0.0	0.4	5.1041875e-06	5.1041875e-06	5.1041875e-06	5.1041875e-06
81	0.4	0.0	0.0	0.4	4.3385594e-06	4.3385594e-06	4.3385594e-06	4.3385594e-06
82	0.4	0.0	0.0	0.4	3.6877757e-06	3.6877757e-06	3.6877757e-06	3.6877757e-06
83	0.4	0.0	0.0	0.4	3.1346094e-06	3.1346094e-06	3.1346094e-06	3.1346094e-06
84	0.4	0.0	0.0	0.4	2.6644182e-06	2.6644182e-06	2.6644182e-06	2.6644182e-06
85	0.4	0.0	0.0	0.4	2.2647555e-06	2.2647555e-06	2.2647555e-06	2.2647555e-06
86	0.4	0.0	0.0	0.4	1.9250422e-06	1.9250422e-06	1.9250422e-06	1.9250422e-06
87	0.4	0.0	0.0	0.4	1.6362859e-06	1.6362859e-06	1.6362859e-06	1.6362859e-06
88	0.4	0.0	0.0	0.4	1.3908431e-06	1.3908431e-06	1.3908431e-06	1.3908431e-06
89	0.4	0.0	0.0	0.4	1.1822167e-06	1.1822167e-06	1.1822167e-06	1.1822167e-06
90	0.4	0.0	0.0	0.4	1.0048842e-06	1.0048842e-06	1.0048842e-06	1.0048842e-06
91	0.4	0.0	0.0	0.4	8.541516e-07	8.541516e-07	8.541516e-07	8.541516e-07
92	0.4	0.0	0.0	0.4	7.260289e-07	7.260289e-07	7.260289e-07	7.260289e-07
93	0.4	0.0	0.0	0.4	6.1712456e-07	6.1712456e-07	6.1712456e-07	6.1712456e-07
94	0.4	0.0	0.0	0.4	5.245559e-07	5.245559e-07	5.245559e-07	5.245559e-07
95	0.4	0.0	0.0	0.4	4.4587253e-07	4.4587253e-07	4.4587253e-07	4.4587253e-07
96	0.4	0.0	0.0	0.4	3.7899167e-07	3.7899167e-07	3.7899167e-07	3.7899167e-07
97	0.4	0.0	0.0	0.4	3.2214294e-07	3.2214294e-07	3.2214294e-07	3.2214294e-07
98	0.4	0.0	0.0	0.4	2.738215e-07	2.738215e-07	2.738215e-07	2.738215e-07
99	0.4	0.0	0.0	0.4	2.3274829e-07	2.3274829e-07	2.3274829e-07	2.3274829e-07
