Cycle	/p/|pl^g	/b/|pl^g	/p/|bl^S	/b/|bl^S	/p/|#l^g	/b/|#l^g	/p/|#l^S	/b/|#l^S
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0
2	0.18900001	0.0	0.0	0.18900001	0.0	0.0	0.0	0.0
3	0.26821	0.0	0.0	0.26821	0.0	0.0	0.0	0.0
4	0.3387069	0.0	0.0	0.3387069	0.0	0.0	0.0	0.0
5	0.40144914	0.0	0.0	0.40144914	0.0	0.0	0.0	0.0
6	0.45728973	0.0	0.0	0.45728973	0.0	0.0	0.0	0.0
7	0.50698787	0.0	0.0	0.50698787	0.0	0.0	0.0	0.0
8	0.5512192	0.0	0.0	0.5512192	0.0	0.0	0.0	0.0
9	0.5905851	0.0	0.0	0.5905851	0.0	0.0	0.0	0.0
10	0.6256208	0.0	0.0	0.6256208	0.0	0.0	0.0	0.0
11	0.65680254	0.0	0.0	0.65680254	0.0	0.0	0.0	0.0
12	0.6845543	0.0	0.0	0.6845543	0.0	0.0	0.0	0.0
13	0.7092533	0.0	0.0	0.7092533	0.0	0.0	0.0	0.0
14	0.73123544	0.0	0.0	0.73123544	0.0	0.0	0.0	0.0
15	0.75079954	0.0	0.0	0.75079954	0.0	0.0	0.0	0.0
16	0.7682116	0.0	0.0	0.7682116	0.0	0.0	0.0	0.0
17	0.7837084	0.0	0.0	0.7837084	0.0	0.0	0.0	0.0
18	0.7975005	0.0	0.0	0.7975005	0.0	0.0	0.0	0.0
19	0.7895255	0.0	0.0	0.7895255	0.0	0.0	0.0	0.0
20	0.7816303	0.0	0.0	0.7816303	0.0	0.0	0.0	0.0
21	0.77381396	0.0	0.0	0.77381396	0.0	0.0	0.0	0.0
22	0.76607585	0.0	0.0	0.76607585	0.0	0.0	0.0	0.0
23	0.7584151	0.0	0.0	0.7584151	0.0	0.0	0.0	0.0
24	0.75083095	0.0	0.0	0.75083095	0.0	0.0	0.0	0.0
25	0.7433227	0.0	0.0	0.7433227	0.0	0.0	0.0	0.0
26	0.73588943	0.0	0.0	0.73588943	0.0	0.0	0.0	0.0
27	0.7285305	0.0	0.0	0.7285305	0.0	0.0	0.0	0.0
28	0.7212452	0.0	0.0	0.7212452	0.0	0.0	0.0	0.0
29	0.71403277	0.0	0.0	0.71403277	0.0	0.0	0.0	0.0
30	0.70689243	0.0	0.0	0.70689243	0.0	0.0	0.0	0.0
31	0.6998235	0.0	0.0	0.6998235	0.0	0.0	0.0	0.0
32	0.69282526	0.0	0.0	0.69282526	0.0	0.0	0.0	0.0
33	0.685897	0.0	0.0	0.685897	0.0	0.0	0.0	0.0
34	0.67903805	0.0	0.0	0.67903805	0.0	0.0	0.0	0.0
35	0.67224765	0.0	0.0	0.67224765	0.0	0.0	0.0	0.0
36	0.6655252	0.0	0.0	0.6655252	0.0	0.0	0.0	0.0
37	0.65887	0.0	0.0	0.65887	0.0	0.0	0.0	0.0
38	0.6522813	0.0	0.0	0.6522813	0.0	0.0	0.0	0.0
39	0.64575845	0.0	0.0	0.64575845	0.0	0.0	0.0	0.0
40	0.6393009	0.0	0.0	0.6393009	0.0	0.0	0.0	0.0
41	0.63290787	0.0	0.0	0.63290787	0.0	0.0	0.0	0.0
42	0.6265788	0.0	0.0	0.6265788	0.0	0.0	0.0	0.0
43	0.62031305	0.0	0.0	0.62031305	0.0	0.0	0.0	0.0
44	0.61410993	0.0	0.0	0.61410993	0.0	0.0	0.0	0.0
45	0.60796887	0.0	0.0	0.60796887	0.0	0.0	0.0	0.0
46	0.6018892	0.0	0.0	0.6018892	0.0	0.0	0.0	0.0
47	0.5958703	0.0	0.0	0.5958703	0.0	0.0	0.0	0.0
48	0.58991164	0.0	0.0	0.58991164	0.0	0.0	0.0	0.0
49	0.5840125	0.0	0.0	0.5840125	0.0	0.0	0.0	0.0
50	0.5781724	0.0	0.0	0.5781724	0.0	0.0	0.0	0.0
51	0.5723907	0.0	0.0	0.5723907	0.0	0.0	0.0	0.0
52	0.5666668	0.0	0.0	0.5666668	0.0	0.0	0.0	0.0
53	0.5610001	0.0	0.0	0.5610001	0.0	0.0	0.0	0.0
54	0.5553901	0.0	0.0	0.5553901	0.0	0.0	0.0	0.0
55	0.5498362	0.0	0.0	0.5498362	0.0	0.0	0.0	0.0
56	0.54433787	0.0	0.0	0.54433787	0.0	0.0	0.0	0.0
57	0.5388945	0.0	0.0	0.5388945	0.0	0.0	0.0	0.0
58	0.53350556	0.0	0.0	0.53350556	0.0	0.0	0.0	0.0
59	0.5281705	0.0	0.0	0.5281705	0.0	0.0	0.0	0.0
60	0.52288884	0.0	0.0	0.52288884	0.0	0.0	0.0	0.0
61	0.51765996	0.0	0.0	0.51765996	0.0	0.0	0.0	0.0
62	0.51248336	0.0	0.0	0.51248336	0.0	0.0	0.0	0.0
63	0.50735855	0.0	0.0	0.50735855	0.0	0.0	0.0	0.0
64	0.50228494	0.0	0.0	0.50228494	0.0	0.0	0.0	0.0
65	0.4972621	0.0	0.0	0.4972621	0.0	0.0	0.0	0.0
66	0.49228948	0.0	0.0	0.49228948	0.0	0.0	0.0	0.0
67	0.4873666	0.0	0.0	0.4873666	0.0	0.0	0.0	0.0
68	0.48249292	0.0	0.0	0.48249292	0.0	0.0	0.0	0.0
69	0.477668	0.0	0.0	0.477668	0.0	0.0	0.0	0.0
70	0.4728913	0.0	0.0	0.4728913	0.0	0.0	0.0	0.0
71	0.4681624	0.0	0.0	0.4681624	0.0	0.0	0.0	0.0
72	0.46348077	0.0	0.0	0.46348077	0.0	0.0	0.0	0.0
73	0.45884597	0.0	0.0	0.45884597	0.0	0.0	0.0	0.0
74	0.45425752	0.0	0.0	0.45425752	0.0	0.0	0.0	0.0
75	0.44971496	0.0	0.0	0.44971496	0.0	0.0	0.0	0.0
76	0.44521782	0.0	0.0	0.44521782	0.0	0.0	0.0	0.0
77	0.44076565	0.0	0.0	0.44076565	0.0	0.0	0.0	0.0
78	0.436358	0.0	0.0	0.436358	0.0	0.0	0.0	0.0
79	0.43199444	0.0	0.0	0.43199444	0.0	0.0	0.0	0.0
80	0.4276745	0.0	0.0	0.4276745	0.0	0.0	0.0	0.0
81	0.42339775	0.0	0.0	0.42339775	0.0	0.0	0.0	0.0
82	0.41916376	0.0	0.0	0.41916376	0.0	0.0	0.0	0.0
83	0.41497213	0.0	0.0	0.41497213	0.0	0.0	0.0	0.0
84	0.41082242	0.0	0.0	0.41082242	0.0	0.0	0.0	0.0
85	0.4067142	0.0	0.0	0.4067142	0.0	0.0	0.0	0.0
86	0.40264705	0.0	0.0	0.40264705	0.0	0.0	0.0	0.0
87	0.39862058	0.0	0.0	0.39862058	0.0	0.0	0.0	0.0
88	0.39463437	0.0	0.0	0.39463437	0.0	0.0	0.0	0.0
89	0.39068803	0.0	0.0	0.39068803	0.0	0.0	0.0	0.0
90	0.38678116	0.0	0.0	0.38678116	0.0	0.0	0.0	0.0
91	0.38291335	0.0	0.0	0.38291335	0.0	0.0	0.0	0.0
92	0.37908423	0.0	0.0	0.37908423	0.0	0.0	0.0	0.0
93	0.3752934	0.0	0.0	0.3752934	0.0	0.0	0.0	0.0
94	0.3715405	0.0	0.0	0.3715405	0.0	0.0	0.0	0.0
95	0.3678251	0.0	0.0	0.3678251	0.0	0.0	0.0	0.0
96	0.36414683	0.0	0.0	0.36414683	0.0	0.0	0.0	0.0
97	0.36050537	0.0	0.0	0.36050537	0.0	0.0	0.0	0.0
98	0.35690033	0.0	0.0	0.35690033	0.0	0.0	0.0	0.0
99	0.35333133	0.0	0.0	0.35333133	0.0	0.0	0.0	0.0
