Feedback_Excitation	Feedback_Inhibition	Cycle	/p/|pl^g	/b/|pl^g	/p/|bl^S	/b/|bl^S	/p/|#l^g	/b/|#l^g	/p/|#l^S	/b/|#l^S
0.0	-0.15	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	-0.15	1	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0
0.0	-0.15	2	0.18	0.0	0.0	0.18	0.0	0.0	0.0	0.0
0.0	-0.15	3	0.24399999	0.0	0.0	0.24399999	0.0	0.0	0.0	0.0
0.0	-0.15	4	0.2952	0.0	0.0	0.2952	0.0	0.0	0.0	0.0
0.0	-0.15	5	0.33615997	0.0	0.0	0.33615997	0.0	0.0	0.0	0.0
0.0	-0.15	6	0.36892796	0.0	0.0	0.36892796	0.0	0.0	0.0	0.0
0.0	-0.15	7	0.39514235	0.0	0.0	0.39514235	0.0	0.0	0.0	0.0
0.0	-0.15	8	0.41611385	0.0	0.0	0.41611385	0.0	0.0	0.0	0.0
0.0	-0.15	9	0.43289107	0.0	0.0	0.43289107	0.0	0.0	0.0	0.0
0.0	-0.15	10	0.44631284	0.0	0.0	0.44631284	0.1	0.1	0.1	0.1
0.0	-0.15	11	0.45705026	0.0	0.0	0.45705026	0.18	0.18	0.18	0.18
0.0	-0.15	12	0.4656402	0.0	0.0	0.4656402	0.240064	0.23698899	0.240064	0.23698899
0.0	-0.15	13	0.47251213	0.0	0.0	0.47251213	0.28440586	0.27917996	0.28440586	0.27917996
0.0	-0.15	14	0.47800967	0.0	0.0	0.478004	0.25200063	0.24627472	0.25200063	0.24627472
0.0	-0.15	15	0.48240095	0.0	0.0	0.48231888	0.22250836	0.21638812	0.22250836	0.21638812
0.0	-0.15	16	0.4859046	0.0	0.0	0.48565453	0.19611707	0.18974766	0.19611707	0.18974766
0.0	-0.15	17	0.4887005	0.0	0.0	0.48819607	0.17260063	0.16611347	0.17260063	0.16611347
