Cycle	/p/|pl^g	/b/|pl^g	/p/|bl^S	/b/|bl^S	/p/|#l^g	/b/|#l^g	/p/|#l^S	/b/|#l^S
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0
2	0.18	0.0	0.0	0.18	0.0	0.0	0.0	0.0
3	0.2485756	0.00045000005	0.00045000005	0.2467306	0.0	0.0	0.0	0.0
4	0.3046077	0.0008682015	0.0010983215	0.30225572	0.0	0.0	0.0	0.0
5	0.35174003	0.001369443	0.0018101041	0.34846783	0.0	0.0	0.0	0.0
6	0.39074814	0.0018596724	0.0025168972	0.3869508	0.0	0.0	0.0	0.0
7	0.4232521	0.0023542051	0.0031896327	0.41902477	0.0	0.0	0.0	0.0
8	0.4502747	0.0028354886	0.003812219	0.44578922	0.0	0.0	0.0	0.0
9	0.47277313	0.0033028093	0.004380794	0.46816504	0.0	0.0	0.0	0.0
10	0.49153668	0.0037566135	0.004896905	0.48691568	0.1	0.1	0.1	0.1
11	0.5072259	0.0041972417	0.005362612	0.5026761	0.18	0.18	0.18	0.18
12	0.52038777	0.0046250448	0.005780574	0.51597536	0.2489446	0.24709961	0.2489446	0.24709961
13	0.53270006	0.0054529062	0.0064242776	0.52820677	0.30660123	0.30352426	0.30660123	0.30352426
14	0.5438231	0.006628484	0.007415518	0.5394804	0.28598756	0.28154188	0.28598756	0.28154188
15	0.5538982	0.008135207	0.008736027	0.5497157	0.27066654	0.2646817	0.27066654	0.2646817
16	0.562974	0.0098887235	0.010302136	0.5589074	0.25891507	0.25132632	0.25891507	0.25132632
17	0.57115185	0.011802238	0.0120143965	0.56710005	0.2503911	0.241079	0.2503911	0.241079
18	0.57854164	0.013797893	0.013783616	0.57440954	0.24465194	0.23351085	0.24465194	0.23351085
19	0.5852541	0.015811274	0.015539797	0.5809691	0.24130261	0.22821936	0.24130261	0.22821936
20	0.5913734	0.017789243	0.017221214	0.58687675	0.23998688	0.22484678	0.23998688	0.22484678
21	0.5969704	0.019695047	0.018783323	0.59221375	0.24037814	0.22306985	0.24037814	0.22306985
22	0.6021122	0.021508526	0.020193912	0.5970541	0.24218518	0.22260362	0.24218518	0.22260362
23	0.6076785	0.023731112	0.021777228	0.6022804	0.24679554	0.22464308	0.24679554	0.22464308
24	0.6136058	0.026366284	0.023548638	0.60785687	0.25367752	0.22883847	0.25367752	0.22883847
25	0.61965305	0.029273562	0.025413347	0.6135315	0.26219666	0.23477548	0.26219666	0.23477548
26	0.62559533	0.032258775	0.027287947	0.61913633	0.27178657	0.24198636	0.27178657	0.24198636
27	0.6312803	0.035154004	0.029080115	0.62453127	0.2815347	0.24965957	0.2815347	0.24965957
28	0.63661927	0.03783496	0.030708602	0.62961173	0.2911539	0.2575183	0.2911539	0.2575183
29	0.6415744	0.040262457	0.032124422	0.63432086	0.3004691	0.26537615	0.3004691	0.26537615
30	0.64613104	0.042446665	0.033309832	0.63863945	0.30935776	0.27307814	0.30935776	0.27307814
31	0.6502906	0.04439659	0.034250002	0.642565	0.3177506	0.28050783	0.3177506	0.28050783
32	0.6540683	0.046131548	0.03493465	0.64610994	0.32562637	0.28758267	0.32562637	0.28758267
33	0.65761244	0.04768566	0.035358183	0.6495205	0.33322883	0.29424313	0.33302632	0.29472473
34	0.6609502	0.049067777	0.035592105	0.652851	0.34062243	0.30041215	0.33989945	0.3020379
35	0.664042	0.050264314	0.03571821	0.65607333	0.34776974	0.30598938	0.34617186	0.30949825
36	0.66683733	0.05125054	0.035803646	0.65914655	0.35454303	0.310903	0.35179207	0.31702897
37	0.66930187	0.052009407	0.035877008	0.6620238	0.36083123	0.31512102	0.35673943	0.32452932
38	0.6714357	0.05253815	0.03593975	0.66467124	0.3665853	0.31866813	0.3610427	0.33192694
39	0.67326695	0.052844286	0.03598644	0.66707253	0.3718189	0.3216052	0.3647438	0.33915702
40	0.6748251	0.05293999	0.036013253	0.6692255	0.3765687	0.32399786	0.3679008	0.346161
41	0.67614114	0.05284094	0.036014374	0.6711382	0.38087735	0.325912	0.3705779	0.35289058
42	0.67724794	0.05257085	0.035983793	0.67282426	0.38477996	0.3274078	0.37283388	0.3593087
43	0.6781759	0.05215664	0.03591627	0.6743005	0.38830918	0.32854196	0.37472472	0.3653882
44	0.678956	0.051621936	0.035807796	0.6755856	0.39149654	0.32936773	0.37630916	0.37111112
45	0.67961484	0.050986852	0.035655662	0.6766989	0.39437136	0.32993287	0.37763715	0.37646705
46	0.68017244	0.05026837	0.03545852	0.6776593	0.39696106	0.33028024	0.3787518	0.38145286
47	0.68064487	0.049480993	0.035223175	0.6784902	0.39929038	0.33044687	0.37969413	0.38607147
48	0.6810466	0.048637126	0.03495557	0.6792104	0.40138257	0.3304655	0.38050258	0.39033055
49	0.681396	0.047747184	0.034660913	0.6798353	0.40325966	0.33036676	0.381209	0.3942412
50	0.68170494	0.0468193	0.034343738	0.6803778	0.40494084	0.33017632	0.38183996	0.39781684
51	0.6819818	0.045859925	0.03401205	0.68084896	0.40644294	0.32991573	0.3824175	0.40107208
52	0.6822332	0.04487418	0.03367556	0.68125933	0.40778133	0.3296034	0.38296002	0.40402237
53	0.6824641	0.043866016	0.033341594	0.6816231	0.4089705	0.32925525	0.38348314	0.4066835
54	0.68267846	0.04283842	0.03301527	0.68195206	0.4100238	0.32888505	0.38399988	0.40907115
55	0.682879	0.041793562	0.03269967	0.682256	0.41095454	0.32850462	0.38452113	0.41120064
56	0.68306667	0.04073229	0.03239672	0.6825408	0.41177863	0.32812414	0.3850561	0.41309032
57	0.6832412	0.03965445	0.03210693	0.68281	0.41250977	0.32775214	0.385612	0.41476744
58	0.68340194	0.038559265	0.031830058	0.683066	0.41315976	0.32739586	0.38619262	0.41625372
59	0.6835504	0.037445627	0.031565502	0.68331015	0.41373897	0.3270615	0.3868001	0.41756794
60	0.68368894	0.036312062	0.031312514	0.68354344	0.41425648	0.3267543	0.3874356	0.41872802
61	0.68382055	0.035158683	0.03107032	0.6837666	0.41472033	0.32647887	0.38809925	0.41974849
62	0.6839541	0.033994034	0.030838132	0.6839833	0.41513756	0.326239	0.3887903	0.42064062
63	0.68409353	0.032825448	0.030615177	0.6841963	0.41551435	0.32603797	0.3895076	0.42141342
64	0.68423975	0.03165957	0.030400751	0.6844069	0.41585618	0.32587853	0.39024988	0.4220742
65	0.6843924	0.030501949	0.030193953	0.6846156	0.41616762	0.32576284	0.3910159	0.42262885
66	0.6845504	0.029357338	0.029993773	0.68482226	0.4164551	0.32569277	0.39180446	0.4230823
67	0.6847125	0.028229617	0.029799197	0.68502665	0.41672975	0.32566944	0.39261448	0.42343864
68	0.6848775	0.027121942	0.029609274	0.68522835	0.41699943	0.3256926	0.3934449	0.42370126
69	0.68504393	0.026036873	0.02942314	0.6854274	0.41727325	0.3257614	0.39429474	0.42387557
70	0.6852107	0.024976458	0.029240403	0.6856256	0.41756213	0.3258742	0.3951625	0.4239725
71	0.6853768	0.023942303	0.029064782	0.68582374	0.41787362	0.32602814	0.39604512	0.42400065
72	0.68554133	0.022935702	0.028898867	0.6860219	0.41821295	0.32622007	0.39693898	0.4239666
73	0.68570334	0.021957641	0.028744448	0.6862202	0.41858387	0.3264469	0.3978402	0.4238751
74	0.68586195	0.021008749	0.028602745	0.68641835	0.41898894	0.32670566	0.39874506	0.42372975
75	0.68601626	0.020089496	0.028474575	0.686616	0.41943595	0.3269937	0.39965072	0.42353302
76	0.68616563	0.019200144	0.028360456	0.68681264	0.41993564	0.3273077	0.40055993	0.42328665
77	0.68630946	0.01834078	0.028260684	0.687008	0.42049533	0.32764322	0.40147376	0.42299148
78	0.686447	0.017511345	0.028175391	0.68720186	0.42111984	0.32799566	0.40239534	0.42264783
79	0.6865779	0.016711665	0.028104585	0.68739355	0.42181212	0.32836035	0.4033272	0.4222554
80	0.6867017	0.01594146	0.02804818	0.6875829	0.42257375	0.32873303	0.40427032	0.4218135
81	0.6868199	0.015200371	0.028006025	0.6877696	0.42340535	0.32910973	0.40522462	0.42132106
82	0.68693495	0.014487962	0.02797791	0.6879534	0.4243068	0.3294869	0.40618908	0.42077693
83	0.68704784	0.013803739	0.027963584	0.6881341	0.4252773	0.32986134	0.40716228	0.42017964
84	0.68715894	0.013147156	0.027962776	0.68831146	0.42631552	0.33023018	0.4081536	0.41953856
85	0.6872681	0.012517634	0.027975183	0.6884854	0.42741987	0.3305908	0.4091726	0.4188656
86	0.68737495	0.01191456	0.028000494	0.6886557	0.42858842	0.33094102	0.4102239	0.41817006
87	0.68747914	0.011337302	0.02803839	0.6888222	0.429819	0.3312787	0.41130897	0.41745925
88	0.6875801	0.010785207	0.028088545	0.68898493	0.4311092	0.33160204	0.4124273	0.41673893
89	0.6876774	0.010257617	0.028150633	0.6891437	0.43245655	0.33190942	0.41357705	0.41601363
90	0.6877704	0.00975386	0.02822433	0.6892985	0.4338584	0.3321994	0.4147557	0.415287
91	0.6878589	0.009273365	0.02830932	0.6894493	0.43531203	0.33247066	0.4159602	0.41456187
92	0.68794245	0.008815504	0.028405288	0.68959606	0.43681464	0.332722	0.41718724	0.4138406
93	0.68802077	0.008379608	0.028511928	0.68973875	0.43836328	0.33295247	0.41843992	0.41312492
94	0.68809354	0.007964963	0.028628945	0.6898773	0.43995512	0.3331611	0.4197251	0.41241613
95	0.68816066	0.0075707734	0.028756054	0.69001174	0.4415871	0.33334708	0.42104626	0.41171497
96	0.6882218	0.007196208	0.02889298	0.69014215	0.44325623	0.3335097	0.42240447	0.4110217
97	0.688277	0.0068404265	0.029039461	0.6902685	0.44495943	0.33364913	0.42379904	0.41033652
98	0.6883261	0.006502595	0.02919524	0.69039094	0.44669336	0.3337704	0.42522824	0.4096593
99	0.688369	0.0061819004	0.02936008	0.69050944	0.44845456	0.33387685	0.4266895	0.40898988
