Cycle	/p/|pl^g	/b/|pl^g	/p/|bl^S	/b/|bl^S	/p/|#l^g	/b/|#l^g	/p/|#l^S	/b/|#l^S
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0
2	0.18	0.0	0.0	0.18	0.0	0.0	0.0	0.0
3	0.25060922	0.0	0.0	0.2479442	0.0	0.0	0.0	0.0
4	0.30876642	0.0	0.0	0.30538025	0.0	0.0	0.0	0.0
5	0.3581217	0.0	0.0	0.35372156	0.0	0.0	0.0	0.0
6	0.39925522	0.0	0.0	0.39427212	0.0	0.0	0.0	0.0
7	0.43349326	0.0	0.0	0.4281978	0.0	0.0	0.0	0.0
8	0.46187255	0.0	0.0	0.4564714	0.0	0.0	0.0	0.0
9	0.48530054	0.0	0.0	0.47994483	0.0	0.0	0.0	0.0
10	0.5045916	0.0	0.0	0.49936518	0.1	0.1	0.1	0.1
11	0.52044046	0.0	0.0	0.51539063	0.18	0.18	0.18	0.18
12	0.5334424	0.0	0.0	0.52858436	0.249043	0.24473801	0.249043	0.24473801
13	0.5452019	0.0	0.0	0.5403997	0.3059583	0.2987628	0.3059583	0.2987628
14	0.55615854	0.0	0.0	0.5512741	0.28392518	0.27351892	0.28392518	0.27351892
15	0.56616604	0.0	0.0	0.5610714	0.26662195	0.25260285	0.26662195	0.25260285
16	0.5752149	0.0	0.0	0.5697906	0.25242683	0.23467045	0.25242683	0.23467045
17	0.58337283	0.0	0.0	0.5775081	0.24085179	0.21923785	0.24085179	0.21923785
18	0.5907384	0.0	0.0	0.5843326	0.23147374	0.20591487	0.23147374	0.20591487
19	0.59739745	0.0	0.0	0.590371	0.22392017	0.19433665	0.22392017	0.19433665
20	0.60341907	0.0	0.0	0.59574676	0.21792096	0.18418401	0.21792096	0.18418401
21	0.60885584	0.0	0.0	0.6005585	0.21324377	0.17519437	0.21324377	0.17519437
22	0.6137503	0.0	0.0	0.60488856	0.20969181	0.16715352	0.20969181	0.16715352
23	0.6190801	0.0	0.0	0.60967284	0.20808855	0.16077818	0.20808855	0.16077818
24	0.6249217	0.0	0.0	0.6152407	0.2083349	0.155918	0.2083349	0.155918
25	0.6309736	0.0	0.0	0.6213261	0.21005195	0.15231146	0.21005195	0.15231146
26	0.6369982	0.0	0.0	0.6276165	0.21279368	0.14974648	0.21279368	0.14974648
27	0.6428016	0.0	0.0	0.63384545	0.21584247	0.1477313	0.21584247	0.1477313
28	0.64824986	0.0	0.0	0.6398608	0.21880329	0.14613885	0.21880329	0.14613885
29	0.6532656	0.0	0.0	0.6455437	0.22152539	0.144846	0.22152539	0.144846
30	0.65782714	0.0	0.0	0.6508187	0.22392422	0.14373562	0.22392422	0.14373562
31	0.6619302	0.0	0.0	0.65564585	0.2259771	0.1427172	0.2259771	0.1427172
32	0.6655964	0.0	0.0	0.6600291	0.22772034	0.14172441	0.22772034	0.14172441
33	0.6689615	0.0	0.0	0.6641816	0.22936048	0.1405917	0.22889951	0.14122686
34	0.67208827	0.0	0.0	0.6681649	0.23095542	0.1390854	0.22939132	0.1414737
35	0.6749908	0.0	0.0	0.67197543	0.23249154	0.13700166	0.22910945	0.14255665
36	0.67765355	0.0	0.0	0.67560446	0.23392965	0.13418067	0.22802486	0.14448148
37	0.6800662	0.0	0.0	0.6790323	0.23523316	0.1305481	0.22612508	0.14724934
38	0.6822266	0.0	0.0	0.6822429	0.23637079	0.126084	0.22340894	0.15084736
39	0.68413657	0.0	0.0	0.6852255	0.23734987	0.120770425	0.21988371	0.1552449
40	0.68580335	0.0	0.0	0.6879718	0.238177	0.11461539	0.21555945	0.16039923
41	0.6872337	0.0	0.0	0.690482	0.23886818	0.10763135	0.21045971	0.16625857
42	0.6884455	0.0	0.0	0.6927631	0.23945445	0.09982443	0.20461059	0.1727694
43	0.689461	0.0	0.0	0.69482696	0.23997945	0.09119281	0.19804496	0.1798737
44	0.6903051	0.0	0.0	0.696694	0.24048115	0.08203981	0.19081208	0.18750319
45	0.691	0.0	0.0	0.698385	0.24097663	0.07364776	0.18296467	0.19558814
46	0.69156253	0.0	0.0	0.6999166	0.24147646	0.06597001	0.17454359	0.20406753
47	0.6920066	0.0	0.0	0.7013031	0.24198715	0.058962125	0.16557974	0.21288756
48	0.6923442	0.0	0.0	0.7025572	0.24251203	0.0525814	0.15609553	0.22200048
49	0.692586	0.0	0.0	0.7036907	0.24305207	0.046786577	0.14611575	0.23135823
50	0.6927416	0.0	0.0	0.70471406	0.24360646	0.041537695	0.13565902	0.24091394
51	0.6928198	0.0	0.0	0.7056366	0.24417314	0.03679603	0.124738485	0.25062186
52	0.69282866	0.0	0.0	0.7064672	0.2447491	0.032524124	0.11335316	0.26042968
53	0.6927758	0.0	0.0	0.7072141	0.24533077	0.028685847	0.101951376	0.27028623
54	0.6926681	0.0	0.0	0.707885	0.24591415	0.025246486	0.09150861	0.2801439
55	0.6925118	0.0	0.0	0.7084871	0.24649507	0.022172831	0.08196613	0.28995964
56	0.69231284	0.0	0.0	0.70902675	0.2470693	0.019433266	0.07326694	0.2996935
57	0.69207656	0.0	0.0	0.70950997	0.24763265	0.016997838	0.06535568	0.30930892
58	0.69180787	0.0	0.0	0.7099464	0.24818102	0.014838326	0.058178652	0.3187731
59	0.6915112	0.0	0.0	0.71034276	0.24871053	0.012928265	0.051683836	0.32805687
60	0.6911907	0.0	0.0	0.7107041	0.24921748	0.011242977	0.04582099	0.337135
61	0.6908501	0.0	0.0	0.7110341	0.24969837	0.009759558	0.040541757	0.3459859
62	0.69049263	0.0	0.0	0.7113359	0.25015002	0.008456861	0.035799675	0.35458997
63	0.6901214	0.0	0.0	0.7116121	0.25056943	0.0073154485	0.031550426	0.36293092
64	0.68973917	0.0	0.0	0.7118649	0.2509539	0.0063175405	0.027751943	0.37099624
65	0.68934834	0.0	0.0	0.7120962	0.25130302	0.005446934	0.024364483	0.37877694
66	0.68895113	0.0	0.0	0.7123079	0.2516316	0.0046888725	0.02135065	0.38626707
67	0.68854946	0.0	0.0	0.71250147	0.2519516	0.004030067	0.018675426	0.39346358
68	0.68814504	0.0	0.0	0.7126787	0.25227273	0.0034585907	0.016306149	0.4003659
69	0.68773943	0.0	0.0	0.7128407	0.25260264	0.00296377	0.014212493	0.40697563
70	0.687334	0.0	0.0	0.7129889	0.25294733	0.002536083	0.012366419	0.4132963
71	0.68693113	0.0	0.0	0.7131245	0.25331154	0.0021670612	0.010742109	0.41933304
72	0.68653286	0.0	0.0	0.7132485	0.25369886	0.0018491934	0.00931589	0.42509225
73	0.6861405	0.0	0.0	0.713362	0.25411195	0.0015758371	0.008066138	0.43058154
74	0.685755	0.0	0.0	0.71346587	0.25455275	0.0013411342	0.006973178	0.43580925
75	0.685377	0.0	0.0	0.71356106	0.25502264	0.0011399313	0.006019173	0.44078448
76	0.685007	0.0	0.0	0.7136482	0.25552252	0.0009677069	0.0051880116	0.4455168
77	0.68464583	0.0	0.0	0.7137281	0.25605285	0.0008205036	0.0044651893	0.45001608
78	0.68429434	0.0	0.0	0.7138014	0.25661382	0.0006948658	0.0038376926	0.45429236
79	0.6839528	0.0	0.0	0.71386874	0.25720537	0.000587783	0.0032938824	0.45835575
80	0.6836213	0.0	0.0	0.7139306	0.25782725	0.0004966382	0.0028233808	0.46221638
81	0.6832998	0.0	0.0	0.71398747	0.258478	0.0004191625	0.002416962	0.46588418
82	0.68298805	0.0	0.0	0.7140398	0.25915426	0.00035339282	0.0020664472	0.46936896
83	0.68268585	0.0	0.0	0.71408796	0.25985083	0.00029763352	0.0017646054	0.47268027
84	0.6823931	0.0	0.0	0.7141324	0.26056334	0.00025042053	0.0015050606	0.4758273
85	0.68210936	0.0	0.0	0.71417344	0.2612883	0.00021049239	0.0012822045	0.47881907
86	0.6818344	0.0	0.0	0.71421134	0.26202238	0.00017676462	0.0010911161	0.4816641
87	0.681568	0.0	0.0	0.7142464	0.2627606	0.00014830743	0.00092748733	0.4843707
88	0.68130994	0.0	0.0	0.7142788	0.26349893	0.00012432388	0.000787555	0.48694676
89	0.68105984	0.0	0.0	0.71430886	0.26423407	0.00010413222	0.00066803885	0.48939973
90	0.6808175	0.0	0.0	0.71433675	0.26496336	8.7150285e-05	0.00056608533	0.49173728
91	0.6805827	0.0	0.0	0.7143627	0.26568466	7.2881834e-05	0.00047921826	0.49396634
92	0.68035513	0.0	0.0	0.7143867	0.26639634	6.090453e-05	0.00040529342	0.4960922
93	0.68013453	0.0	0.0	0.71440905	0.26709706	5.0859526e-05	0.0003424551	0.49811977
94	0.67992073	0.0	0.0	0.71442986	0.26778582	4.2442338e-05	0.0002891001	0.5000538
95	0.6797135	0.0	0.0	0.7144493	0.26846182	3.539501e-05	0.00024384592	0.5018989
96	0.67951256	0.0	0.0	0.7144674	0.26912457	2.9499277e-05	0.0002055025	0.5036594
97	0.6793177	0.0	0.0	0.71448433	0.26977366	2.4570716e-05	0.00017304711	0.50533956
98	0.6791287	0.0	0.0	0.7145001	0.27040887	2.0453675e-05	0.00014560226	0.50694335
99	0.67894536	0.0	0.0	0.71451485	0.2710301	1.7016942e-05	0.00012241618	0.5084747
