TARGET	LEX	AWP	AGSD	LUCEK	ACT	AccType	Acc	RT	RTlength	Length	UP	RTup	TARGET	COH	NB	RHY1	RHY2	EMBED	xEMBED	COHshort	COHlong	COHeq	DEL	ADD	SUB
ad	slex	0.3	0	20	Activation	Peak	1	67	17	2	2	0	ad	1	4	4	3	1	6	0	0	1	0	2	2
ad	slex	0.3	0	20	Activation	Max	1	20	17	2	2	0	ad	1	4	4	3	1	6	0	0	1	0	2	2
ad	slex	0.3	0	20	Activation	Abz	1	57	17	2	2	0	ad	1	4	4	3	1	6	0	0	1	0	2	2
ad	slex	0.3	0	20	Activation	Diff	1	55	17	2	2	0	ad	1	4	4	3	1	6	0	0	1	0	2	2
ad	slex	0.3	0	20	Activation	CDiff	1	58	17	2	2	0	ad	1	4	4	3	1	6	0	0	1	0	2	2
ad	slex	0.3	0	20	Probability	Peak	1	77	17	2	2	0	ad	1	4	4	3	1	6	0	0	1	0	2	2
ad	slex	0.3	0	20	Probability	Max	1	20	17	2	2	0	ad	1	4	4	3	1	6	0	0	1	0	2	2
ad	slex	0.3	0	20	Probability	Abz	1	63	17	2	2	0	ad	1	4	4	3	1	6	0	0	1	0	2	2
ad	slex	0.3	0	20	Probability	Diff	1	36	17	2	2	0	ad	1	4	4	3	1	6	0	0	1	0	2	2
ad	slex	0.3	0	20	Probability	CDiff	1	52	17	2	2	0	ad	1	4	4	3	1	6	0	0	1	0	2	2
ark	slex	0.3	0	20	Activation	Peak	1	74	23	3	3	0	ark	4	6	4	22	2	5	1	1	2	1	3	2
ark	slex	0.3	0	20	Activation	Max	1	35	23	3	3	0	ark	4	6	4	22	2	5	1	1	2	1	3	2
ark	slex	0.3	0	20	Activation	Abz	1	48	23	3	3	0	ark	4	6	4	22	2	5	1	1	2	1	3	2
ark	slex	0.3	0	20	Activation	Diff	1	59	23	3	3	0	ark	4	6	4	22	2	5	1	1	2	1	3	2
ark	slex	0.3	0	20	Activation	CDiff	1	64	23	3	3	0	ark	4	6	4	22	2	5	1	1	2	1	3	2
ark	slex	0.3	0	20	Probability	Peak	1	100	23	3	3	0	ark	4	6	4	22	2	5	1	1	2	1	3	2
ark	slex	0.3	0	20	Probability	Max	1	35	23	3	3	0	ark	4	6	4	22	2	5	1	1	2	1	3	2
