TARGET	COH	NB	RHY1	RHY2	EMBED	xEMBED	COHshort	COHlong	COHeq	DEL	ADD	SUB
ad	1	4	4	3	1	6	0	0	1	0	2	2
ar	4	8	6	8	1	29	0	3	1	0	6	2
ark	4	6	4	22	2	5	1	1	2	1	3	2
art	4	5	3	48	2	9	1	1	2	1	2	2
artxst	4	1	1	1	5	1	3	0	1	0	0	1
bab	7	4	2	5	1	2	0	5	2	0	1	3
babi	7	4	2	3	3	1	2	1	4	1	0	3
badi	7	2	1	2	2	1	2	1	4	0	0	2
baks	7	1	1	1	1	1	2	1	4	0	0	1
bar	7	7	7	8	2	2	0	5	2	1	1	5
bark	7	5	5	5	4	1	2	1	4	2	0	3
batxl	7	1	1	3	2	1	6	0	1	0	0	1
bi	3	7	7	3	1	5	0	2	1	0	1	6
bist	3	5	4	8	3	1	2	0	1	2	0	3
bit	3	8	7	48	3	1	1	1	1	2	1	5
blak	3	3	3	6	2	1	1	0	2	1	0	2
blu	3	3	3	11	1	1	0	2	1	0	0	3
blxd	3	1	2	4	2	1	1	0	2	0	0	1
brid	3	3	2	8	2	1	0	0	3	1	0	2
brud	3	2	1	1	1	1	0	0	3	0	0	2
brxh	3	3	3	3	3	1	0	0	3	1	0	2
bust	2	3	1	8	1	1	1	0	1	1	0	2
but	2	7	4	48	1	1	0	1	1	0	1	6
bxbxl	4	2	3	6	2	2	3	0	1	0	0	2
bxk	4	6	5	22	2	1	0	1	3	0	0	6
bxs	4	4	3	10	3	1	0	1	3	1	0	3
bxt	4	8	4	48	2	1	0	1	3	0	0	8
dal	4	4	1	29	1	1	0	2	2	0	0	4
dark	4	5	5	5	3	1	2	0	2	1	0	4
dart	4	5	5	5	3	1	2	0	2	2	0	3
dat	4	7	9	48	1	1	0	2	2	0	1	6
did	3	6	6	19	1	2	0	0	3	0	0	6
dil	3	7	5	29	1	1	0	0	3	0	0	7
dip	3	6	7	21	1	1	0	0	3	0	0	6
drap	3	2	2	7	1	1	1	0	2	0	0	2
dru	3	5	5	11	1	1	0	2	1	1	0	4
drxg	3	2	2	4	2	1	1	0	2	0	0	2
